ZIP_CODE,Positive,Negative,Probable,date
15521,250,0,166,2022-06-04
15522,1914,0,854,2022-06-04
15530,922,0,344,2022-06-04
15531,604,0,273,2022-06-04
15533,182,0,106,2022-06-04
15534,104,0,89,2022-06-04
15535,288,0,117,2022-06-04
15536,53,0,32,2022-06-04
15537,1246,0,554,2022-06-04
15538,96,0,45,2022-06-04
15539,103,0,52,2022-06-04
15541,583,0,222,2022-06-04
15542,227,0,75,2022-06-04
15545,420,0,214,2022-06-04
15546,57,0,26,2022-06-04
15550,229,0,133,2022-06-04
15552,1207,0,279,2022-06-04
15554,294,0,256,2022-06-04
15555,12,0,10,2022-06-04
15558,303,0,60,2022-06-04
15559,279,0,197,2022-06-04
15562,29,0,7,2022-06-04
15563,450,0,236,2022-06-04
15564,20,0,9,2022-06-04
15705,92,0,96,2022-06-04
15711,65,0,19,2022-06-04
15714,983,0,423,2022-06-04
15716,97,0,43,2022-06-04
15720,28,0,9,2022-06-04
15721,25,0,6,2022-06-04
15722,380,0,174,2022-06-04
15724,343,0,140,2022-06-04
15728,489,0,261,2022-06-04
15729,197,0,73,2022-06-04
15730,11,0,6,2022-06-04
15739,77,0,32,2022-06-04
15742,187,0,51,2022-06-04
15744,13,0,10,2022-06-04
15750,36,0,15,2022-06-04
15753,55,0,27,2022-06-04
15757,222,0,99,2022-06-04
15758,5,0,0,2022-06-04
15759,407,0,128,2022-06-04
15760,27,0,6,2022-06-04
15762,134,0,74,2022-06-04
15763,-1,0,-1,2022-06-04
15764,11,0,-1,2022-06-04
15765,231,0,85,2022-06-04
15767,1964,0,714,2022-06-04
15770,22,0,9,2022-06-04
15771,122,0,43,2022-06-04
15772,212,0,70,2022-06-04
15773,110,0,36,2022-06-04
15775,-1,0,0,2022-06-04
15776,11,0,5,2022-06-04
15777,20,0,13,2022-06-04
15778,29,0,13,2022-06-04
15780,31,0,-1,2022-06-04
15784,23,0,6,2022-06-04
15801,2669,0,1942,2022-06-04
15821,22,0,5,2022-06-04
15823,137,0,109,2022-06-04
15824,595,0,483,2022-06-04
15825,1595,0,619,2022-06-04
15827,38,0,23,2022-06-04
15828,34,0,8,2022-06-04
15829,194,0,66,2022-06-04
15832,26,0,9,2022-06-04
15834,514,0,237,2022-06-04
15840,205,0,150,2022-06-04
15845,407,0,245,2022-06-04
15846,385,0,306,2022-06-04
15848,117,0,104,2022-06-04
15849,172,0,114,2022-06-04
15851,771,0,547,2022-06-04
15853,945,0,532,2022-06-04
15856,95,0,63,2022-06-04
15857,1689,0,1445,2022-06-04
15860,179,0,52,2022-06-04
15861,17,0,5,2022-06-04
15864,297,0,100,2022-06-04
15865,154,0,127,2022-06-04
15866,14,0,22,2022-06-04
15868,208,0,161,2022-06-04
15870,139,0,95,2022-06-04
15901,647,0,185,2022-06-04
15902,1932,0,790,2022-06-04
15904,2771,0,1332,2022-06-04
15905,3434,0,1764,2022-06-04
15906,1752,0,829,2022-06-04
15909,913,0,386,2022-06-04
15920,161,0,59,2022-06-04
15924,163,0,95,2022-06-04
15926,395,0,217,2022-06-04
15927,203,0,103,2022-06-04
15928,314,0,232,2022-06-04
15931,1688,0,748,2022-06-04
15934,42,0,42,2022-06-04
15935,412,0,253,2022-06-04
15936,259,0,148,2022-06-04
15938,474,0,215,2022-06-04
15940,841,0,551,2022-06-04
15942,295,0,191,2022-06-04
15943,608,0,384,2022-06-04
15944,474,0,223,2022-06-04
15945,42,0,21,2022-06-04
15946,1139,0,582,2022-06-04
15949,157,0,54,2022-06-04
15951,125,0,65,2022-06-04
