ZIP_CODE,Positive,Negative,Probable,date
15521,248,467,165,2022-05-02
15522,1882,3507,823,2022-05-02
15530,917,1929,338,2022-05-02
15531,599,1248,268,2022-05-02
15533,178,338,104,2022-05-02
15534,100,175,88,2022-05-02
15535,281,447,118,2022-05-02
15536,53,149,32,2022-05-02
15537,1216,2121,546,2022-05-02
15538,96,193,44,2022-05-02
15539,103,165,51,2022-05-02
15541,572,1111,218,2022-05-02
15542,223,346,70,2022-05-02
15545,411,589,212,2022-05-02
15546,55,127,26,2022-05-02
15550,227,420,125,2022-05-02
15552,1185,2076,275,2022-05-02
15554,288,609,252,2022-05-02
15555,11,36,10,2022-05-02
15558,301,550,59,2022-05-02
15559,275,480,190,2022-05-02
15562,29,81,6,2022-05-02
15563,444,958,232,2022-05-02
15564,19,23,8,2022-05-02
15705,89,270,96,2022-05-02
15711,65,99,19,2022-05-02
15714,965,2066,405,2022-05-02
15716,94,186,43,2022-05-02
15720,28,41,9,2022-05-02
15721,25,50,6,2022-05-02
15722,375,652,167,2022-05-02
15724,336,686,139,2022-05-02
15728,482,1016,254,2022-05-02
15729,192,397,71,2022-05-02
15730,11,26,6,2022-05-02
15739,77,154,28,2022-05-02
15742,187,278,49,2022-05-02
15744,13,25,10,2022-05-02
15750,36,62,15,2022-05-02
15753,55,100,26,2022-05-02
15757,219,405,96,2022-05-02
15758,5,6,0,2022-05-02
15759,400,662,119,2022-05-02
15760,26,43,6,2022-05-02
15762,134,270,70,2022-05-02
15763,-1,6,-1,2022-05-02
15764,11,20,-1,2022-05-02
15765,227,476,82,2022-05-02
15767,1914,3790,690,2022-05-02
15770,22,40,9,2022-05-02
15771,118,220,37,2022-05-02
15772,208,460,70,2022-05-02
15773,110,173,36,2022-05-02
15775,-1,0,0,2022-05-02
15776,11,11,5,2022-05-02
15777,20,50,12,2022-05-02
15778,29,41,13,2022-05-02
15780,31,41,-1,2022-05-02
15784,22,38,6,2022-05-02
15801,2520,6142,1870,2022-05-02
15821,21,31,5,2022-05-02
15823,132,346,108,2022-05-02
15824,574,1288,477,2022-05-02
15825,1554,2891,600,2022-05-02
15827,37,78,23,2022-05-02
15828,34,74,7,2022-05-02
15829,192,341,65,2022-05-02
15832,26,83,9,2022-05-02
15834,497,1350,220,2022-05-02
15840,197,505,145,2022-05-02
15845,400,795,239,2022-05-02
15846,379,820,297,2022-05-02
15848,113,230,100,2022-05-02
15849,163,352,112,2022-05-02
15851,739,1560,536,2022-05-02
15853,910,1924,521,2022-05-02
15856,91,197,61,2022-05-02
15857,1628,3456,1402,2022-05-02
15860,175,312,50,2022-05-02
15861,16,27,5,2022-05-02
15864,283,503,101,2022-05-02
15865,154,304,125,2022-05-02
15866,14,41,22,2022-05-02
15868,199,377,156,2022-05-02
15870,138,270,93,2022-05-02
15901,634,1744,179,2022-05-02
15902,1891,4808,761,2022-05-02
15904,2693,6294,1285,2022-05-02
15905,3328,8693,1661,2022-05-02
15906,1719,4288,798,2022-05-02
15909,896,2008,375,2022-05-02
15920,159,359,57,2022-05-02
