ZIP_CODE,Positive,Negative,Probable,date
15521,271,0,182,2022-10-05
15522,2053,0,948,2022-10-05
15530,972,0,376,2022-10-05
15531,653,0,308,2022-10-05
15533,195,0,115,2022-10-05
15534,110,0,92,2022-10-05
15535,330,0,127,2022-10-05
15536,61,0,38,2022-10-05
15537,1365,0,598,2022-10-05
15538,104,0,50,2022-10-05
15539,110,0,58,2022-10-05
15541,633,0,251,2022-10-05
15542,242,0,79,2022-10-05
15545,458,0,251,2022-10-05
15546,61,0,27,2022-10-05
15550,248,0,150,2022-10-05
15552,1282,0,314,2022-10-05
15554,319,0,278,2022-10-05
15555,14,0,11,2022-10-05
15558,327,0,76,2022-10-05
15559,312,0,209,2022-10-05
15562,30,0,8,2022-10-05
15563,494,0,264,2022-10-05
15564,22,0,10,2022-10-05
15705,107,0,120,2022-10-05
15711,71,0,21,2022-10-05
15714,1083,0,485,2022-10-05
15716,116,0,52,2022-10-05
15720,29,0,10,2022-10-05
15721,26,0,7,2022-10-05
15722,416,0,186,2022-10-05
15724,369,0,161,2022-10-05
15728,526,0,314,2022-10-05
15729,220,0,98,2022-10-05
15730,11,0,6,2022-10-05
15739,84,0,42,2022-10-05
15742,195,0,63,2022-10-05
15744,15,0,11,2022-10-05
15750,42,0,15,2022-10-05
15753,58,0,31,2022-10-05
15757,252,0,114,2022-10-05
15758,5,0,-1,2022-10-05
15759,426,0,160,2022-10-05
15760,27,0,8,2022-10-05
15762,141,0,79,2022-10-05
15763,-1,0,-1,2022-10-05
15764,14,0,-1,2022-10-05
15765,246,0,96,2022-10-05
15767,2180,0,772,2022-10-05
15770,25,0,10,2022-10-05
15771,135,0,52,2022-10-05
15772,239,0,82,2022-10-05
15773,120,0,45,2022-10-05
15775,-1,0,-1,2022-10-05
15776,11,0,5,2022-10-05
15777,22,0,15,2022-10-05
15778,32,0,13,2022-10-05
15780,32,0,-1,2022-10-05
15784,24,0,6,2022-10-05
15801,3206,0,2061,2022-10-05
15821,22,0,7,2022-10-05
15823,157,0,112,2022-10-05
15824,685,0,505,2022-10-05
15825,1800,0,653,2022-10-05
15827,42,0,25,2022-10-05
15828,47,0,8,2022-10-05
15829,217,0,63,2022-10-05
15832,28,0,11,2022-10-05
15834,577,0,262,2022-10-05
15840,266,0,155,2022-10-05
15845,459,0,271,2022-10-05
15846,450,0,337,2022-10-05
15848,137,0,112,2022-10-05
15849,206,0,117,2022-10-05
15851,911,0,587,2022-10-05
15853,1048,0,563,2022-10-05
15856,114,0,65,2022-10-05
15857,1903,0,1565,2022-10-05
15860,201,0,55,2022-10-05
15861,19,0,5,2022-10-05
15864,335,0,101,2022-10-05
15865,191,0,130,2022-10-05
15866,19,0,25,2022-10-05
15868,230,0,166,2022-10-05
15870,156,0,97,2022-10-05
15901,732,0,249,2022-10-05
15902,2215,0,993,2022-10-05
15904,3123,0,1645,2022-10-05
15905,3805,0,2189,2022-10-05
15906,1967,0,1040,2022-10-05
15909,1021,0,474,2022-10-05
15920,187,0,68,2022-10-05
15924,170,0,107,2022-10-05
15926,437,0,253,2022-10-05
15927,220,0,114,2022-10-05
15928,332,0,270,2022-10-05
15931,1845,0,880,2022-10-05
15934,44,0,48,2022-10-05
15935,446,0,287,2022-10-05
15936,282,0,175,2022-10-05
15938,507,0,240,2022-10-05
15940,857,0,571,2022-10-05
15942,320,0,222,2022-10-05
15943,677,0,452,2022-10-05
15944,541,0,241,2022-10-05
15945,49,0,20,2022-10-05
15946,1244,0,664,2022-10-05
15949,182,0,58,2022-10-05
15951,144,0,76,2022-10-05
15952,230,0,165,2022-10-05
15953,13,0,7,2022-10-05
15954,427,0,161,2022-10-05
15955,349,0,235,2022-10-05
15956,559,0,322,2022-10-05
15957,62,0,56,2022-10-05
15958,330,0,251,2022-10-05
15960,56,0,56,2022-10-05
15961,181,0,107,2022-10-05
15963,1805,0,1377,2022-10-05
16020,237,0,60,2022-10-05
16022,97,0,26,2022-10-05
16025,1135,0,337,2022-10-05
16028,364,0,65,2022-10-05
16030,58,0,15,2022-10-05
16036,28,0,8,2022-10-05
16038,663,0,144,2022-10-05
16040,151,0,61,2022-10-05
16041,324,0,100,2022-10-05
16049,570,0,133,2022-10-05
16050,288,0,81,2022-10-05
16051,454,0,195,2022-10-05
16057,2519,0,583,2022-10-05
16061,469,0,123,2022-10-05
16101,5941,0,2879,2022-10-05
16102,903,0,451,2022-10-05
16105,2391,0,1351,2022-10-05
16110,68,0,26,2022-10-05
16111,163,0,47,2022-10-05
16112,244,0,122,2022-10-05
16114,80,0,32,2022-10-05
16116,417,0,229,2022-10-05
16121,905,0,192,2022-10-05
16124,237,0,95,2022-10-05
16125,2957,0,870,2022-10-05
16127,2992,0,790,2022-10-05
16130,318,0,80,2022-10-05
16131,154,0,44,2022-10-05
16133,219,0,59,2022-10-05
16134,554,0,180,2022-10-05
16137,2220,0,597,2022-10-05
16142,741,0,361,2022-10-05
16143,422,0,203,2022-10-05
16145,472,0,124,2022-10-05
16146,2651,0,641,2022-10-05
16148,3330,0,1049,2022-10-05
16150,1291,0,436,2022-10-05
16153,411,0,106,2022-10-05
16154,374,0,130,2022-10-05
16156,442,0,194,2022-10-05
16159,820,0,263,2022-10-05
16172,68,0,89,2022-10-05
16213,25,0,5,2022-10-05
16214,1713,0,321,2022-10-05
16217,14,0,-1,2022-10-05
16218,261,0,41,2022-10-05
16224,236,0,43,2022-10-05
16225,7,0,-1,2022-10-05
16232,779,0,136,2022-10-05
16233,190,0,62,2022-10-05
16234,13,0,-1,2022-10-05
16235,239,0,68,2022-10-05
16239,1779,0,100,2022-10-05
16240,242,0,66,2022-10-05
16242,954,0,143,2022-10-05
16248,611,0,116,2022-10-05
16253,21,0,-1,2022-10-05
16254,737,0,216,2022-10-05
16255,512,0,85,2022-10-05
16258,391,0,71,2022-10-05
16260,42,0,7,2022-10-05
16301,3048,0,680,2022-10-05
16311,79,0,17,2022-10-05
16313,282,0,123,2022-10-05
16314,1116,0,348,2022-10-05
16316,1070,0,312,2022-10-05
16317,325,0,67,2022-10-05
16319,223,0,58,2022-10-05
16321,28,0,-1,2022-10-05
16323,3245,0,730,2022-10-05
16326,73,0,16,2022-10-05
16327,519,0,131,2022-10-05
16329,53,0,24,2022-10-05
16331,13,0,6,2022-10-05
16332,17,0,-1,2022-10-05
16333,39,0,9,2022-10-05
16334,90,0,14,2022-10-05
16335,6125,0,1597,2022-10-05
16340,275,0,102,2022-10-05
16341,489,0,53,2022-10-05
16342,602,0,84,2022-10-05
16345,437,0,221,2022-10-05
16346,556,0,103,2022-10-05
16347,367,0,121,2022-10-05
16350,321,0,114,2022-10-05
16351,279,0,80,2022-10-05
16353,480,0,60,2022-10-05
16354,2772,0,256,2022-10-05
16360,265,0,46,2022-10-05
16362,188,0,55,2022-10-05
16364,157,0,48,2022-10-05
16365,3008,0,1363,2022-10-05
16371,519,0,360,2022-10-05
16372,84,0,25,2022-10-05
16373,626,0,119,2022-10-05
16374,266,0,45,2022-10-05
16401,811,0,106,2022-10-05
16402,97,0,17,2022-10-05
16403,1939,0,265,2022-10-05
16404,571,0,61,2022-10-05
16405,98,0,16,2022-10-05
16406,654,0,295,2022-10-05
16407,2068,0,302,2022-10-05
16410,364,0,48,2022-10-05
16411,287,0,37,2022-10-05
16412,2118,0,386,2022-10-05
16415,1867,0,325,2022-10-05
16417,1864,0,432,2022-10-05
16420,118,0,17,2022-10-05
16421,536,0,59,2022-10-05
16423,824,0,134,2022-10-05
16424,818,0,218,2022-10-05
16426,862,0,115,2022-10-05
16428,2587,0,287,2022-10-05
16430,9,0,5,2022-10-05
16433,1136,0,356,2022-10-05
16434,339,0,53,2022-10-05
16435,301,0,82,2022-10-05
16436,121,0,25,2022-10-05
16438,1357,0,203,2022-10-05
16440,133,0,36,2022-10-05
16441,2136,0,348,2022-10-05
16442,524,0,87,2022-10-05
16443,294,0,26,2022-10-05
16444,73,0,35,2022-10-05
16501,397,0,32,2022-10-05
16502,3572,0,517,2022-10-05
16503,3302,0,451,2022-10-05
16504,3525,0,530,2022-10-05
16505,3241,0,462,2022-10-05
16506,5126,0,677,2022-10-05
16507,1963,0,248,2022-10-05
16508,3314,0,586,2022-10-05
16509,5745,0,1293,2022-10-05
16510,5253,0,727,2022-10-05
16511,2605,0,320,2022-10-05
16565,-1,0,-1,2022-10-05
16601,6897,0,1652,2022-10-05
16602,5969,0,1572,2022-10-05
16611,481,0,93,2022-10-05
16613,277,0,87,2022-10-05
16616,25,0,9,2022-10-05
16617,627,0,117,2022-10-05
16620,88,0,19,2022-10-05
16621,144,0,39,2022-10-05
16622,54,0,13,2022-10-05
16623,87,0,33,2022-10-05
16625,596,0,270,2022-10-05
16627,323,0,146,2022-10-05
16630,798,0,370,2022-10-05
16634,62,0,12,2022-10-05
16635,2231,0,596,2022-10-05
16636,160,0,49,2022-10-05
16637,467,0,157,2022-10-05
16639,181,0,55,2022-10-05
16640,168,0,83,2022-10-05
16641,483,0,199,2022-10-05
16645,22,0,5,2022-10-05
16646,538,0,194,2022-10-05
16647,150,0,38,2022-10-05
16648,3492,0,959,2022-10-05
16650,285,0,103,2022-10-05
16651,707,0,134,2022-10-05
16652,4065,0,686,2022-10-05
16655,279,0,163,2022-10-05
16656,229,0,80,2022-10-05
16657,233,0,53,2022-10-05
16659,43,0,19,2022-10-05
16661,182,0,37,2022-10-05
16662,868,0,339,2022-10-05
16664,245,0,86,2022-10-05
16666,694,0,112,2022-10-05
16667,238,0,121,2022-10-05
16668,667,0,255,2022-10-05
16669,443,0,86,2022-10-05
16670,22,0,7,2022-10-05
16671,126,0,17,2022-10-05
16673,837,0,299,2022-10-05
16674,123,0,45,2022-10-05
16678,512,0,140,2022-10-05
16679,157,0,44,2022-10-05
16680,113,0,10,2022-10-05
16682,33,0,16,2022-10-05
16683,56,0,11,2022-10-05
16685,57,0,20,2022-10-05
16686,3137,0,521,2022-10-05
16689,64,0,72,2022-10-05
16691,61,0,38,2022-10-05
16692,114,0,42,2022-10-05
16693,870,0,200,2022-10-05
16695,141,0,62,2022-10-05
16701,2785,0,904,2022-10-05
16720,227,0,41,2022-10-05
16724,21,0,-1,2022-10-05
16726,78,0,30,2022-10-05
16727,47,0,14,2022-10-05
16729,116,0,31,2022-10-05
16731,405,0,91,2022-10-05
16732,41,0,14,2022-10-05
16734,50,0,15,2022-10-05
16735,1074,0,345,2022-10-05
16738,279,0,369,2022-10-05
16740,160,0,51,2022-10-05
16743,814,0,74,2022-10-05
16744,48,0,16,2022-10-05
16745,88,0,26,2022-10-05
16746,255,0,20,2022-10-05
16748,515,0,77,2022-10-05
16749,739,0,229,2022-10-05
16750,60,0,9,2022-10-05
16801,10032,0,1379,2022-10-05
16802,2064,0,313,2022-10-05
16803,4234,0,843,2022-10-05
16820,212,0,29,2022-10-05
16821,98,0,14,2022-10-05
16822,589,0,34,2022-10-05
16823,7209,0,639,2022-10-05
16827,966,0,124,2022-10-05
16828,957,0,97,2022-10-05
16829,205,0,25,2022-10-05
16830,3242,0,742,2022-10-05
16832,101,0,10,2022-10-05
16833,1140,0,318,2022-10-05
16836,237,0,28,2022-10-05
