ZIP_CODE,Positive,Negative,Probable,date
15521,274,0,189,2022-12-11
15522,2105,0,956,2022-12-11
15530,988,0,401,2022-12-11
15531,668,0,321,2022-12-11
15533,201,0,121,2022-12-11
15534,112,0,92,2022-12-11
15535,344,0,128,2022-12-11
15536,64,0,37,2022-12-11
15537,1398,0,610,2022-12-11
15538,106,0,52,2022-12-11
15539,112,0,58,2022-12-11
15541,647,0,255,2022-12-11
15542,245,0,81,2022-12-11
15545,468,0,266,2022-12-11
15546,63,0,28,2022-12-11
15550,256,0,156,2022-12-11
15552,1306,0,339,2022-12-11
15554,328,0,279,2022-12-11
15555,14,0,11,2022-12-11
15558,332,0,81,2022-12-11
15559,317,0,214,2022-12-11
15562,31,0,8,2022-12-11
15563,506,0,280,2022-12-11
15564,22,0,10,2022-12-11
15705,107,0,123,2022-12-11
15711,73,0,21,2022-12-11
15714,1107,0,511,2022-12-11
15716,117,0,53,2022-12-11
15720,29,0,11,2022-12-11
15721,27,0,7,2022-12-11
15722,422,0,196,2022-12-11
15724,381,0,169,2022-12-11
15728,542,0,332,2022-12-11
15729,224,0,108,2022-12-11
15730,12,0,6,2022-12-11
15739,85,0,43,2022-12-11
15742,196,0,70,2022-12-11
15744,15,0,12,2022-12-11
15750,43,0,15,2022-12-11
15753,59,0,32,2022-12-11
15757,257,0,116,2022-12-11
15758,5,0,-1,2022-12-11
15759,436,0,164,2022-12-11
15760,28,0,8,2022-12-11
15762,141,0,85,2022-12-11
15763,-1,0,-1,2022-12-11
15764,14,0,-1,2022-12-11
15765,251,0,104,2022-12-11
15767,2243,0,799,2022-12-11
15770,28,0,10,2022-12-11
15771,137,0,54,2022-12-11
15772,266,0,88,2022-12-11
15773,121,0,46,2022-12-11
15775,-1,0,-1,2022-12-11
15776,11,0,5,2022-12-11
15777,22,0,15,2022-12-11
15778,33,0,13,2022-12-11
15780,35,0,6,2022-12-11
15784,24,0,7,2022-12-11
15801,3381,0,2087,2022-12-11
15821,22,0,7,2022-12-11
15823,169,0,115,2022-12-11
15824,713,0,507,2022-12-11
15825,1880,0,682,2022-12-11
15827,45,0,25,2022-12-11
15828,49,0,8,2022-12-11
15829,227,0,64,2022-12-11
15832,28,0,11,2022-12-11
15834,596,0,278,2022-12-11
15840,275,0,158,2022-12-11
15845,485,0,274,2022-12-11
15846,473,0,339,2022-12-11
15848,141,0,112,2022-12-11
15849,220,0,117,2022-12-11
15851,962,0,594,2022-12-11
15853,1093,0,565,2022-12-11
15856,117,0,65,2022-12-11
15857,1961,0,1578,2022-12-11
15860,205,0,57,2022-12-11
15861,20,0,5,2022-12-11
15864,344,0,100,2022-12-11
15865,204,0,132,2022-12-11
15866,22,0,24,2022-12-11
15868,239,0,165,2022-12-11
15870,159,0,98,2022-12-11
15901,751,0,258,2022-12-11
15902,2291,0,1038,2022-12-11
15904,3204,0,1737,2022-12-11
15905,3951,0,2325,2022-12-11
15906,2009,0,1086,2022-12-11
