ZIP_CODE,Positive,Negative,Probable,date
15521,246,464,165,2022-04-05
15522,1881,3478,819,2022-04-05
15530,914,1924,334,2022-04-05
15531,599,1246,266,2022-04-05
15533,177,335,103,2022-04-05
15534,100,174,83,2022-04-05
15535,280,447,116,2022-04-05
15536,53,149,32,2022-04-05
15537,1216,2102,545,2022-04-05
15538,94,192,44,2022-04-05
15539,102,163,51,2022-04-05
15541,571,1109,216,2022-04-05
15542,223,345,69,2022-04-05
15545,410,587,212,2022-04-05
15546,55,127,25,2022-04-05
15550,227,421,124,2022-04-05
15552,1184,2063,275,2022-04-05
15554,288,607,251,2022-04-05
15555,11,36,10,2022-04-05
15558,301,545,59,2022-04-05
15559,274,476,190,2022-04-05
15562,29,79,6,2022-04-05
15563,443,952,232,2022-04-05
15564,19,22,8,2022-04-05
15705,88,269,94,2022-04-05
15711,64,99,19,2022-04-05
15714,964,2050,403,2022-04-05
15716,94,184,43,2022-04-05
15720,28,41,8,2022-04-05
15721,25,50,6,2022-04-05
15722,374,645,167,2022-04-05
15724,335,679,139,2022-04-05
15728,481,1011,253,2022-04-05
15729,190,396,70,2022-04-05
15730,11,26,5,2022-04-05
15739,77,153,28,2022-04-05
15742,187,276,49,2022-04-05
15744,12,25,10,2022-04-05
15750,36,62,15,2022-04-05
15753,55,99,26,2022-04-05
15757,218,402,96,2022-04-05
15758,5,6,0,2022-04-05
15759,399,656,119,2022-04-05
15760,26,43,6,2022-04-05
15762,134,269,68,2022-04-05
15763,-1,6,-1,2022-04-05
15764,11,20,-1,2022-04-05
15765,225,471,82,2022-04-05
15767,1905,3760,683,2022-04-05
15770,21,43,8,2022-04-05
15771,118,219,37,2022-04-05
15772,207,457,69,2022-04-05
15773,110,172,36,2022-04-05
15775,-1,0,0,2022-04-05
15776,11,11,5,2022-04-05
15777,20,50,12,2022-04-05
15778,29,41,13,2022-04-05
15780,31,41,-1,2022-04-05
15784,22,38,6,2022-04-05
15801,2500,6110,1859,2022-04-05
15821,21,31,5,2022-04-05
15823,132,340,108,2022-04-05
15824,570,1279,475,2022-04-05
15825,1549,2859,596,2022-04-05
15827,37,77,23,2022-04-05
15828,34,74,7,2022-04-05
15829,192,338,65,2022-04-05
15832,25,83,9,2022-04-05
15834,497,1345,220,2022-04-05
15840,194,500,145,2022-04-05
15845,400,786,237,2022-04-05
15846,376,813,297,2022-04-05
15848,110,229,97,2022-04-05
15849,162,349,111,2022-04-05
15851,733,1543,535,2022-04-05
15853,908,1913,521,2022-04-05
15856,91,196,59,2022-04-05
15857,1626,3424,1398,2022-04-05
15860,175,310,50,2022-04-05
15861,16,26,-1,2022-04-05
15864,282,502,98,2022-04-05
15865,152,302,125,2022-04-05
15866,14,41,22,2022-04-05
15868,199,372,155,2022-04-05
15870,138,267,93,2022-04-05
15901,633,1728,178,2022-04-05
15902,1888,4775,758,2022-04-05
15904,2678,6262,1275,2022-04-05
15905,3307,8664,1627,2022-04-05
15906,1715,4262,795,2022-04-05
15909,893,2006,372,2022-04-05
15920,158,358,57,2022-04-05
15924,157,327,89,2022-04-05
15926,387,865,206,2022-04-05
15927,200,428,100,2022-04-05
15928,310,754,210,2022-04-05
15931,1655,4281,718,2022-04-05
15934,41,87,41,2022-04-05
15935,404,946,243,2022-04-05
15936,253,485,143,2022-04-05
15938,467,974,213,2022-04-05
15940,835,1104,548,2022-04-05
15942,287,751,184,2022-04-05
15943,602,1438,370,2022-04-05
15944,462,1122,221,2022-04-05
15945,41,83,21,2022-04-05
15946,1116,2498,569,2022-04-05
15949,150,232,54,2022-04-05
15951,121,264,64,2022-04-05
15952,202,489,135,2022-04-05
15953,13,23,5,2022-04-05
15954,370,758,114,2022-04-05
15955,314,701,198,2022-04-05
15956,488,1053,279,2022-04-05
15957,52,156,44,2022-04-05
15958,305,690,215,2022-04-05
15960,51,156,50,2022-04-05
15961,158,309,88,2022-04-05
15963,1567,3856,1111,2022-04-05
16020,211,321,46,2022-04-05
16022,85,138,25,2022-04-05
16025,1010,1551,300,2022-04-05
16028,307,566,56,2022-04-05
16030,52,78,14,2022-04-05
16036,25,34,8,2022-04-05
16038,591,933,104,2022-04-05
16040,128,257,56,2022-04-05
16041,285,570,89,2022-04-05
16049,490,812,122,2022-04-05
16050,257,428,79,2022-04-05
16051,391,936,164,2022-04-05
16057,2236,4647,506,2022-04-05
16061,420,679,110,2022-04-05
16101,5211,11305,2415,2022-04-05
16102,807,1717,374,2022-04-05
16105,2140,5483,1104,2022-04-05
16110,56,107,26,2022-04-05
16111,145,217,44,2022-04-05
16112,207,444,109,2022-04-05
16114,59,187,27,2022-04-05
16116,371,790,191,2022-04-05
16121,805,1666,164,2022-04-05
16124,202,537,74,2022-04-05
16125,2600,6419,764,2022-04-05
16127,2610,5109,651,2022-04-05
16130,281,533,67,2022-04-05
16131,135,241,37,2022-04-05
16133,183,387,47,2022-04-05
16134,482,1217,164,2022-04-05
16137,2004,5342,525,2022-04-05
16142,671,1618,293,2022-04-05
16143,370,775,168,2022-04-05
16145,409,729,113,2022-04-05
16146,2343,5333,540,2022-04-05
16148,2875,6377,915,2022-04-05
16150,1138,2568,379,2022-04-05
16153,361,718,92,2022-04-05
16154,333,815,106,2022-04-05
16156,406,770,168,2022-04-05
16159,723,1370,232,2022-04-05
16172,66,198,70,2022-04-05
16213,22,35,5,2022-04-05
16214,1443,2678,301,2022-04-05
16217,11,47,-1,2022-04-05
16218,236,334,37,2022-04-05
16224,215,324,42,2022-04-05
16225,5,19,-1,2022-04-05
16232,665,1018,142,2022-04-05
16233,161,246,55,2022-04-05
16234,13,17,-1,2022-04-05
16235,194,338,70,2022-04-05
16239,1665,2648,75,2022-04-05
16240,210,378,63,2022-04-05
16242,841,1279,143,2022-04-05
16248,531,860,110,2022-04-05
16253,21,48,-1,2022-04-05
16254,624,1036,209,2022-04-05
16255,466,529,77,2022-04-05
16258,328,475,71,2022-04-05
16260,37,54,5,2022-04-05
16301,2675,4501,574,2022-04-05
16311,63,114,15,2022-04-05
16313,252,472,100,2022-04-05
16314,941,1644,306,2022-04-05
16316,902,1896,275,2022-04-05
16317,288,390,62,2022-04-05
16319,201,317,52,2022-04-05
16321,26,32,-1,2022-04-05
16323,2811,4629,619,2022-04-05
16326,66,108,14,2022-04-05
16327,469,798,116,2022-04-05
16329,45,118,18,2022-04-05
16331,12,18,6,2022-04-05
16332,12,39,-1,2022-04-05
16333,35,69,6,2022-04-05
16334,84,97,14,2022-04-05
16335,5074,11691,1317,2022-04-05
16340,243,461,75,2022-04-05
16341,419,635,43,2022-04-05
