ZIP_CODE,Positive,Negative,Probable,date
15521,280,0,189,2023-01-26
15522,2157,0,966,2023-01-26
15530,1005,0,408,2023-01-26
15531,675,0,327,2023-01-26
15533,209,0,121,2023-01-26
15534,112,0,92,2023-01-26
15535,350,0,128,2023-01-26
15536,65,0,38,2023-01-26
15537,1427,0,628,2023-01-26
15538,109,0,54,2023-01-26
15539,113,0,58,2023-01-26
15541,656,0,256,2023-01-26
15542,247,0,82,2023-01-26
15545,477,0,265,2023-01-26
15546,64,0,28,2023-01-26
15550,261,0,160,2023-01-26
15552,1315,0,359,2023-01-26
15554,340,0,280,2023-01-26
15555,15,0,11,2023-01-26
15558,337,0,81,2023-01-26
15559,327,0,217,2023-01-26
15562,32,0,8,2023-01-26
15563,516,0,280,2023-01-26
15564,23,0,10,2023-01-26
15705,107,0,123,2023-01-26
15711,74,0,22,2023-01-26
15714,1127,0,537,2023-01-26
15716,119,0,57,2023-01-26
15720,29,0,14,2023-01-26
15721,27,0,7,2023-01-26
15722,435,0,202,2023-01-26
15724,388,0,175,2023-01-26
15728,548,0,340,2023-01-26
15729,227,0,108,2023-01-26
15730,12,0,6,2023-01-26
15739,87,0,45,2023-01-26
15742,197,0,69,2023-01-26
15744,15,0,12,2023-01-26
15750,46,0,15,2023-01-26
15753,62,0,31,2023-01-26
15757,267,0,116,2023-01-26
15758,5,0,-1,2023-01-26
15759,444,0,166,2023-01-26
15760,28,0,8,2023-01-26
15762,144,0,88,2023-01-26
15763,-1,0,-1,2023-01-26
15764,14,0,-1,2023-01-26
15765,256,0,108,2023-01-26
15767,2337,0,815,2023-01-26
15770,30,0,11,2023-01-26
15771,140,0,55,2023-01-26
15772,272,0,89,2023-01-26
15773,125,0,46,2023-01-26
15775,-1,0,-1,2023-01-26
15776,13,0,5,2023-01-26
15777,22,0,15,2023-01-26
15778,35,0,13,2023-01-26
15780,35,0,6,2023-01-26
15784,27,0,6,2023-01-26
15801,3524,0,2123,2023-01-26
15821,25,0,6,2023-01-26
15823,175,0,116,2023-01-26
15824,740,0,514,2023-01-26
15825,1936,0,686,2023-01-26
15827,46,0,26,2023-01-26
15828,53,0,8,2023-01-26
15829,238,0,63,2023-01-26
15832,33,0,11,2023-01-26
15834,613,0,285,2023-01-26
15840,289,0,161,2023-01-26
15845,494,0,277,2023-01-26
15846,492,0,342,2023-01-26
15848,148,0,145,2023-01-26
15849,233,0,118,2023-01-26
15851,985,0,604,2023-01-26
15853,1111,0,567,2023-01-26
15856,121,0,65,2023-01-26
15857,2015,0,1617,2023-01-26
15860,208,0,57,2023-01-26
15861,20,0,5,2023-01-26
15864,353,0,100,2023-01-26
15865,212,0,136,2023-01-26
15866,22,0,24,2023-01-26
15868,245,0,166,2023-01-26
15870,161,0,99,2023-01-26
15901,767,0,265,2023-01-26
15902,2355,0,1060,2023-01-26
15904,3257,0,1787,2023-01-26
15905,4060,0,2422,2023-01-26
15906,2046,0,1122,2023-01-26
15909,1068,0,512,2023-01-26
15920,201,0,68,2023-01-26
15924,175,0,116,2023-01-26
15926,453,0,266,2023-01-26
15927,231,0,123,2023-01-26
15928,349,0,296,2023-01-26
15931,1967,0,984,2023-01-26
15934,47,0,51,2023-01-26
15935,467,0,304,2023-01-26
15936,299,0,187,2023-01-26
15938,532,0,253,2023-01-26
15940,872,0,576,2023-01-26
15942,338,0,237,2023-01-26
15943,712,0,485,2023-01-26
15944,563,0,250,2023-01-26
15945,52,0,23,2023-01-26
15946,1298,0,695,2023-01-26
15949,191,0,60,2023-01-26
15951,150,0,81,2023-01-26
15952,239,0,177,2023-01-26
15953,15,0,7,2023-01-26
15954,446,0,172,2023-01-26
15955,366,0,246,2023-01-26
15956,578,0,349,2023-01-26
15957,66,0,59,2023-01-26
15958,346,0,267,2023-01-26
15960,58,0,57,2023-01-26
15961,193,0,111,2023-01-26
15963,1880,0,1497,2023-01-26
16020,243,0,63,2023-01-26
16022,100,0,26,2023-01-26
16025,1208,0,346,2023-01-26
16028,382,0,63,2023-01-26
16030,68,0,18,2023-01-26
16036,30,0,8,2023-01-26
16038,698,0,153,2023-01-26
16040,156,0,65,2023-01-26
16041,348,0,104,2023-01-26
16049,605,0,139,2023-01-26
16050,306,0,86,2023-01-26
16051,478,0,205,2023-01-26
16057,2632,0,610,2023-01-26
16061,511,0,126,2023-01-26
16101,6198,0,3091,2023-01-26
16102,942,0,484,2023-01-26
16105,2517,0,1475,2023-01-26
16110,70,0,26,2023-01-26
16111,173,0,47,2023-01-26
16112,254,0,130,2023-01-26
16114,83,0,32,2023-01-26
16116,447,0,243,2023-01-26
16121,954,0,204,2023-01-26
16124,251,0,98,2023-01-26
16125,3107,0,901,2023-01-26
16127,3177,0,858,2023-01-26
