ZIP_CODE,Positive,Negative,Probable,date
15521,253,0,169,2022-06-23
15522,1940,0,862,2022-06-23
15530,933,0,354,2022-06-23
15531,607,0,273,2022-06-23
15533,183,0,109,2022-06-23
15534,104,0,90,2022-06-23
15535,291,0,118,2022-06-23
15536,54,0,32,2022-06-23
15537,1259,0,555,2022-06-23
15538,96,0,49,2022-06-23
15539,103,0,55,2022-06-23
15541,593,0,226,2022-06-23
15542,227,0,76,2022-06-23
15545,423,0,218,2022-06-23
15546,58,0,26,2022-06-23
15550,233,0,134,2022-06-23
15552,1222,0,288,2022-06-23
15554,298,0,258,2022-06-23
15555,12,0,10,2022-06-23
15558,304,0,61,2022-06-23
15559,283,0,199,2022-06-23
15562,29,0,7,2022-06-23
15563,454,0,238,2022-06-23
15564,20,0,10,2022-06-23
15705,92,0,96,2022-06-23
15711,65,0,19,2022-06-23
15714,990,0,428,2022-06-23
15716,98,0,43,2022-06-23
15720,28,0,9,2022-06-23
15721,26,0,6,2022-06-23
15722,385,0,175,2022-06-23
15724,346,0,143,2022-06-23
15728,494,0,267,2022-06-23
15729,198,0,78,2022-06-23
15730,11,0,6,2022-06-23
15739,77,0,32,2022-06-23
15742,187,0,52,2022-06-23
15744,13,0,10,2022-06-23
15750,36,0,15,2022-06-23
15753,55,0,28,2022-06-23
15757,225,0,99,2022-06-23
15758,5,0,0,2022-06-23
15759,408,0,135,2022-06-23
15760,27,0,6,2022-06-23
15762,136,0,74,2022-06-23
15763,-1,0,-1,2022-06-23
15764,12,0,-1,2022-06-23
15765,233,0,86,2022-06-23
15767,1994,0,716,2022-06-23
15770,23,0,9,2022-06-23
15771,124,0,45,2022-06-23
15772,216,0,72,2022-06-23
15773,111,0,36,2022-06-23
15775,-1,0,0,2022-06-23
15776,11,0,5,2022-06-23
15777,20,0,13,2022-06-23
15778,31,0,12,2022-06-23
15780,31,0,-1,2022-06-23
15784,23,0,6,2022-06-23
15801,2745,0,1963,2022-06-23
15821,22,0,5,2022-06-23
15823,138,0,109,2022-06-23
15824,604,0,485,2022-06-23
15825,1619,0,640,2022-06-23
15827,38,0,23,2022-06-23
15828,35,0,8,2022-06-23
15829,196,0,65,2022-06-23
15832,26,0,9,2022-06-23
15834,525,0,238,2022-06-23
15840,215,0,152,2022-06-23
15845,414,0,247,2022-06-23
15846,388,0,308,2022-06-23
15848,117,0,107,2022-06-23
15849,174,0,114,2022-06-23
15851,779,0,555,2022-06-23
15853,952,0,536,2022-06-23
15856,97,0,62,2022-06-23
15857,1707,0,1464,2022-06-23
15860,181,0,52,2022-06-23
15861,18,0,5,2022-06-23
15864,308,0,101,2022-06-23
15865,158,0,128,2022-06-23
15866,14,0,22,2022-06-23
15868,209,0,162,2022-06-23
15870,141,0,95,2022-06-23
15901,661,0,191,2022-06-23
15902,1973,0,804,2022-06-23
15904,2814,0,1356,2022-06-23
15905,3494,0,1829,2022-06-23
15906,1777,0,848,2022-06-23
15909,927,0,392,2022-06-23
15920,164,0,60,2022-06-23
15924,164,0,95,2022-06-23
15926,401,0,225,2022-06-23
15927,204,0,103,2022-06-23
15928,317,0,236,2022-06-23
15931,1698,0,756,2022-06-23
15934,42,0,43,2022-06-23
15935,417,0,259,2022-06-23
15936,261,0,150,2022-06-23
15938,475,0,216,2022-06-23
15940,842,0,551,2022-06-23
15942,295,0,191,2022-06-23
15943,615,0,392,2022-06-23
15944,483,0,223,2022-06-23
15945,43,0,21,2022-06-23
15946,1150,0,591,2022-06-23
15949,161,0,55,2022-06-23
15951,131,0,66,2022-06-23
15952,212,0,142,2022-06-23
15953,13,0,5,2022-06-23
15954,385,0,129,2022-06-23
15955,329,0,210,2022-06-23
15956,504,0,289,2022-06-23
15957,53,0,49,2022-06-23
15958,312,0,222,2022-06-23
15960,54,0,50,2022-06-23
15961,163,0,95,2022-06-23
15963,1637,0,1188,2022-06-23
16020,218,0,49,2022-06-23
