ZIP_CODE,Positive,Negative,Probable,date
15521,280,0,189,2023-01-14
15522,2145,0,964,2023-01-14
15530,998,0,408,2023-01-14
15531,673,0,327,2023-01-14
15533,209,0,121,2023-01-14
15534,112,0,92,2023-01-14
15535,348,0,128,2023-01-14
15536,65,0,38,2023-01-14
15537,1418,0,628,2023-01-14
15538,107,0,53,2023-01-14
15539,113,0,58,2023-01-14
15541,654,0,255,2023-01-14
15542,247,0,82,2023-01-14
15545,476,0,265,2023-01-14
15546,64,0,28,2023-01-14
15550,261,0,159,2023-01-14
15552,1313,0,357,2023-01-14
15554,339,0,277,2023-01-14
15555,14,0,11,2023-01-14
15558,335,0,81,2023-01-14
15559,323,0,218,2023-01-14
15562,32,0,8,2023-01-14
15563,512,0,280,2023-01-14
15564,23,0,10,2023-01-14
15705,107,0,123,2023-01-14
15711,73,0,22,2023-01-14
15714,1123,0,528,2023-01-14
15716,118,0,57,2023-01-14
15720,29,0,14,2023-01-14
15721,27,0,7,2023-01-14
15722,430,0,205,2023-01-14
15724,387,0,172,2023-01-14
15728,547,0,340,2023-01-14
15729,226,0,108,2023-01-14
15730,12,0,6,2023-01-14
15739,85,0,44,2023-01-14
15742,197,0,69,2023-01-14
15744,15,0,12,2023-01-14
15750,46,0,15,2023-01-14
15753,61,0,31,2023-01-14
15757,266,0,116,2023-01-14
15758,5,0,-1,2023-01-14
15759,442,0,166,2023-01-14
15760,28,0,8,2023-01-14
15762,144,0,85,2023-01-14
15763,-1,0,-1,2023-01-14
15764,14,0,-1,2023-01-14
15765,256,0,107,2023-01-14
15767,2318,0,818,2023-01-14
15770,29,0,11,2023-01-14
15771,140,0,55,2023-01-14
15772,271,0,88,2023-01-14
15773,125,0,45,2023-01-14
15775,-1,0,-1,2023-01-14
15776,13,0,5,2023-01-14
15777,22,0,15,2023-01-14
15778,35,0,13,2023-01-14
15780,35,0,6,2023-01-14
15784,27,0,6,2023-01-14
15801,3485,0,2118,2023-01-14
15821,23,0,7,2023-01-14
15823,173,0,115,2023-01-14
15824,734,0,514,2023-01-14
15825,1916,0,685,2023-01-14
15827,46,0,26,2023-01-14
15828,53,0,8,2023-01-14
15829,233,0,64,2023-01-14
15832,28,0,11,2023-01-14
15834,607,0,279,2023-01-14
15840,286,0,161,2023-01-14
15845,492,0,278,2023-01-14
15846,488,0,341,2023-01-14
15848,145,0,137,2023-01-14
15849,229,0,118,2023-01-14
15851,981,0,604,2023-01-14
15853,1105,0,567,2023-01-14
15856,119,0,65,2023-01-14
15857,2009,0,1609,2023-01-14
15860,208,0,57,2023-01-14
15861,20,0,5,2023-01-14
15864,345,0,100,2023-01-14
15865,211,0,136,2023-01-14
15866,22,0,24,2023-01-14
15868,244,0,166,2023-01-14
15870,161,0,99,2023-01-14
15901,762,0,264,2023-01-14
15902,2340,0,1053,2023-01-14
15904,3241,0,1779,2023-01-14
15905,4031,0,2397,2023-01-14
15906,2037,0,1112,2023-01-14
15909,1066,0,509,2023-01-14
15920,200,0,69,2023-01-14
15924,175,0,114,2023-01-14
15926,449,0,264,2023-01-14
15927,230,0,120,2023-01-14
15928,348,0,293,2023-01-14
15931,1959,0,980,2023-01-14
15934,47,0,51,2023-01-14
15935,466,0,304,2023-01-14
15936,299,0,185,2023-01-14
15938,528,0,252,2023-01-14
15940,871,0,576,2023-01-14
15942,336,0,236,2023-01-14
15943,704,0,482,2023-01-14
15944,562,0,249,2023-01-14
15945,52,0,23,2023-01-14
15946,1290,0,694,2023-01-14
15949,188,0,60,2023-01-14
15951,150,0,79,2023-01-14
15952,238,0,175,2023-01-14
15953,15,0,7,2023-01-14
15954,443,0,173,2023-01-14
15955,365,0,246,2023-01-14
15956,576,0,343,2023-01-14
15957,66,0,59,2023-01-14
15958,344,0,263,2023-01-14
15960,58,0,57,2023-01-14
15961,192,0,111,2023-01-14
15963,1873,0,1480,2023-01-14
16020,243,0,63,2023-01-14
16022,99,0,26,2023-01-14
16025,1199,0,344,2023-01-14
16028,377,0,64,2023-01-14
16030,68,0,18,2023-01-14
16036,29,0,8,2023-01-14
16038,698,0,153,2023-01-14
16040,156,0,64,2023-01-14
16041,345,0,104,2023-01-14
16049,599,0,139,2023-01-14
16050,305,0,86,2023-01-14
16051,476,0,205,2023-01-14
16057,2623,0,606,2023-01-14
16061,508,0,126,2023-01-14
16101,6178,0,3077,2023-01-14
16102,939,0,481,2023-01-14
16105,2503,0,1469,2023-01-14
16110,69,0,27,2023-01-14
16111,170,0,47,2023-01-14
16112,254,0,130,2023-01-14
16114,83,0,32,2023-01-14
16116,444,0,242,2023-01-14
16121,951,0,203,2023-01-14
16124,250,0,98,2023-01-14
16125,3093,0,897,2023-01-14
16127,3157,0,854,2023-01-14
16130,327,0,85,2023-01-14
16131,163,0,44,2023-01-14
16133,230,0,61,2023-01-14
16134,587,0,184,2023-01-14
16137,2309,0,616,2023-01-14
16142,765,0,383,2023-01-14
16143,444,0,212,2023-01-14
16145,495,0,128,2023-01-14
16146,2752,0,661,2023-01-14
16148,3471,0,1088,2023-01-14
16150,1341,0,455,2023-01-14
16153,430,0,112,2023-01-14
16154,391,0,131,2023-01-14
16156,470,0,197,2023-01-14
16159,860,0,278,2023-01-14
16172,69,0,89,2023-01-14
16213,25,0,5,2023-01-14
16214,1787,0,339,2023-01-14
16217,15,0,-1,2023-01-14
16218,278,0,40,2023-01-14
16224,242,0,43,2023-01-14
16225,7,0,-1,2023-01-14
16232,813,0,142,2023-01-14
16233,197,0,61,2023-01-14
16234,15,0,-1,2023-01-14
16235,250,0,68,2023-01-14
16239,1815,0,102,2023-01-14
16240,253,0,68,2023-01-14
16242,1004,0,146,2023-01-14
16248,638,0,117,2023-01-14
16253,25,0,-1,2023-01-14
