ZIP_CODE,Positive,Negative,Probable,date
15521,278,0,189,2022-12-28
15522,2135,0,963,2022-12-28
15530,993,0,403,2022-12-28
15531,670,0,324,2022-12-28
15533,206,0,120,2022-12-28
15534,112,0,92,2022-12-28
15535,346,0,128,2022-12-28
15536,64,0,38,2022-12-28
15537,1407,0,626,2022-12-28
15538,106,0,53,2022-12-28
15539,112,0,58,2022-12-28
15541,651,0,255,2022-12-28
15542,245,0,82,2022-12-28
15545,472,0,265,2022-12-28
15546,64,0,28,2022-12-28
15550,260,0,159,2022-12-28
15552,1311,0,340,2022-12-28
15554,337,0,277,2022-12-28
15555,14,0,11,2022-12-28
15558,333,0,81,2022-12-28
15559,321,0,217,2022-12-28
15562,31,0,8,2022-12-28
15563,508,0,280,2022-12-28
15564,23,0,10,2022-12-28
15705,107,0,123,2022-12-28
15711,73,0,22,2022-12-28
15714,1114,0,525,2022-12-28
15716,117,0,55,2022-12-28
15720,29,0,13,2022-12-28
15721,27,0,7,2022-12-28
15722,423,0,200,2022-12-28
15724,383,0,172,2022-12-28
15728,545,0,336,2022-12-28
15729,226,0,108,2022-12-28
15730,12,0,6,2022-12-28
15739,85,0,43,2022-12-28
15742,197,0,69,2022-12-28
15744,15,0,12,2022-12-28
15750,43,0,15,2022-12-28
15753,61,0,31,2022-12-28
15757,261,0,117,2022-12-28
15758,5,0,-1,2022-12-28
15759,437,0,164,2022-12-28
15760,28,0,8,2022-12-28
15762,142,0,85,2022-12-28
15763,-1,0,-1,2022-12-28
15764,14,0,-1,2022-12-28
15765,251,0,107,2022-12-28
15767,2278,0,818,2022-12-28
15770,29,0,11,2022-12-28
15771,137,0,55,2022-12-28
15772,268,0,88,2022-12-28
15773,123,0,45,2022-12-28
15775,-1,0,-1,2022-12-28
15776,11,0,5,2022-12-28
15777,22,0,15,2022-12-28
15778,34,0,13,2022-12-28
15780,35,0,6,2022-12-28
15784,26,0,6,2022-12-28
15801,3434,0,2099,2022-12-28
15821,22,0,7,2022-12-28
15823,171,0,115,2022-12-28
15824,720,0,509,2022-12-28
15825,1897,0,684,2022-12-28
15827,45,0,25,2022-12-28
15828,52,0,8,2022-12-28
15829,230,0,64,2022-12-28
15832,28,0,11,2022-12-28
15834,597,0,279,2022-12-28
15840,279,0,159,2022-12-28
15845,488,0,275,2022-12-28
15846,478,0,340,2022-12-28
15848,144,0,112,2022-12-28
15849,222,0,118,2022-12-28
15851,969,0,596,2022-12-28
15853,1097,0,566,2022-12-28
15856,117,0,65,2022-12-28
15857,1984,0,1579,2022-12-28
15860,206,0,57,2022-12-28
15861,20,0,5,2022-12-28
15864,344,0,100,2022-12-28
15865,209,0,134,2022-12-28
15866,22,0,24,2022-12-28
15868,241,0,165,2022-12-28
15870,159,0,98,2022-12-28
15901,755,0,260,2022-12-28
15902,2316,0,1044,2022-12-28
15904,3219,0,1764,2022-12-28
15905,3998,0,2362,2022-12-28
15906,2024,0,1101,2022-12-28
15909,1059,0,502,2022-12-28
15920,199,0,67,2022-12-28
15924,174,0,114,2022-12-28
15926,448,0,263,2022-12-28
15927,228,0,119,2022-12-28
15928,345,0,289,2022-12-28
15931,1950,0,967,2022-12-28
15934,47,0,51,2022-12-28
15935,460,0,302,2022-12-28
15936,296,0,183,2022-12-28
15938,524,0,253,2022-12-28
15940,868,0,573,2022-12-28
15942,332,0,236,2022-12-28
15943,698,0,475,2022-12-28
15944,561,0,248,2022-12-28
15945,52,0,22,2022-12-28
15946,1279,0,686,2022-12-28
15949,186,0,60,2022-12-28
15951,148,0,77,2022-12-28
15952,238,0,172,2022-12-28
15953,15,0,7,2022-12-28
15954,441,0,171,2022-12-28
15955,364,0,242,2022-12-28
15956,575,0,338,2022-12-28
15957,66,0,59,2022-12-28
15958,341,0,260,2022-12-28
15960,57,0,57,2022-12-28
15961,190,0,111,2022-12-28
15963,1865,0,1465,2022-12-28
16020,242,0,63,2022-12-28
16022,98,0,26,2022-12-28
16025,1190,0,346,2022-12-28
16028,375,0,64,2022-12-28
16030,67,0,17,2022-12-28
16036,29,0,8,2022-12-28
16038,695,0,150,2022-12-28
16040,156,0,64,2022-12-28
16041,338,0,103,2022-12-28
16049,591,0,138,2022-12-28
16050,302,0,86,2022-12-28
16051,474,0,205,2022-12-28
16057,2606,0,600,2022-12-28
16061,498,0,125,2022-12-28
16101,6135,0,3049,2022-12-28
16102,936,0,477,2022-12-28
16105,2487,0,1447,2022-12-28
16110,69,0,27,2022-12-28
16111,169,0,47,2022-12-28
16112,254,0,129,2022-12-28
16114,82,0,32,2022-12-28
16116,437,0,243,2022-12-28
16121,947,0,202,2022-12-28
16124,249,0,98,2022-12-28
16125,3066,0,888,2022-12-28
16127,3127,0,843,2022-12-28
16130,324,0,83,2022-12-28
16131,161,0,44,2022-12-28
16133,230,0,61,2022-12-28
16134,577,0,183,2022-12-28
16137,2289,0,612,2022-12-28
16142,761,0,379,2022-12-28
16143,439,0,212,2022-12-28
16145,494,0,128,2022-12-28
16146,2731,0,661,2022-12-28
16148,3449,0,1084,2022-12-28
16150,1334,0,454,2022-12-28
16153,425,0,111,2022-12-28
16154,388,0,131,2022-12-28
16156,465,0,199,2022-12-28
16159,857,0,276,2022-12-28
16172,69,0,89,2022-12-28
16213,25,0,5,2022-12-28
16214,1769,0,333,2022-12-28
16217,15,0,-1,2022-12-28
16218,276,0,40,2022-12-28
16224,240,0,44,2022-12-28
16225,7,0,-1,2022-12-28
16232,808,0,140,2022-12-28
16233,197,0,61,2022-12-28
16234,15,0,-1,2022-12-28
16235,250,0,68,2022-12-28
16239,1813,0,102,2022-12-28
16240,250,0,68,2022-12-28
16242,995,0,144,2022-12-28
16248,630,0,118,2022-12-28
16253,24,0,-1,2022-12-28
16254,770,0,217,2022-12-28
16255,522,0,85,2022-12-28
16258,407,0,72,2022-12-28
16260,45,0,7,2022-12-28
16301,3165,0,711,2022-12-28
16311,86,0,18,2022-12-28
16313,299,0,129,2022-12-28
16314,1172,0,351,2022-12-28
16316,1118,0,319,2022-12-28
16317,334,0,67,2022-12-28
16319,235,0,57,2022-12-28
16321,29,0,-1,2022-12-28
16323,3403,0,745,2022-12-28
16326,79,0,15,2022-12-28
16327,540,0,138,2022-12-28
16329,57,0,25,2022-12-28
16331,13,0,6,2022-12-28
16332,18,0,-1,2022-12-28
16333,41,0,9,2022-12-28
16334,92,0,14,2022-12-28
16335,6505,0,1651,2022-12-28
16340,291,0,105,2022-12-28
16341,520,0,55,2022-12-28
16342,623,0,87,2022-12-28
16345,455,0,244,2022-12-28
16346,577,0,105,2022-12-28
16347,381,0,130,2022-12-28
16350,342,0,123,2022-12-28
16351,295,0,79,2022-12-28
16353,498,0,59,2022-12-28
16354,2895,0,249,2022-12-28
16360,279,0,47,2022-12-28
16362,195,0,57,2022-12-28
16364,160,0,48,2022-12-28
16365,3145,0,1493,2022-12-28
16371,549,0,406,2022-12-28
16372,86,0,26,2022-12-28
16373,650,0,120,2022-12-28
16374,280,0,52,2022-12-28
16401,840,0,112,2022-12-28
16402,99,0,19,2022-12-28
16403,1995,0,279,2022-12-28
16404,598,0,63,2022-12-28
16405,100,0,16,2022-12-28
16406,674,0,303,2022-12-28
16407,2140,0,333,2022-12-28
16410,377,0,48,2022-12-28
16411,303,0,40,2022-12-28
16412,2210,0,395,2022-12-28
16415,1971,0,346,2022-12-28
16417,1949,0,445,2022-12-28
16420,122,0,19,2022-12-28
16421,573,0,58,2022-12-28
16423,856,0,141,2022-12-28
16424,849,0,226,2022-12-28
16426,903,0,118,2022-12-28
16428,2686,0,314,2022-12-28
16430,11,0,6,2022-12-28
16433,1180,0,368,2022-12-28
