ZIP_CODE,Positive,Negative,Probable,date
15521,248,467,165,2022-04-18
15522,1881,3497,819,2022-04-18
15530,916,1928,336,2022-04-18
15531,599,1248,266,2022-04-18
15533,178,336,103,2022-04-18
15534,100,175,83,2022-04-18
15535,281,448,117,2022-04-18
15536,53,149,32,2022-04-18
15537,1216,2115,545,2022-04-18
15538,94,192,44,2022-04-18
15539,103,165,51,2022-04-18
15541,572,1110,217,2022-04-18
15542,223,346,69,2022-04-18
15545,410,588,212,2022-04-18
15546,55,128,25,2022-04-18
15550,227,421,124,2022-04-18
15552,1184,2067,275,2022-04-18
15554,288,608,251,2022-04-18
15555,11,36,10,2022-04-18
15558,301,548,59,2022-04-18
15559,274,478,190,2022-04-18
15562,29,81,6,2022-04-18
15563,443,955,232,2022-04-18
15564,19,22,8,2022-04-18
15705,88,271,95,2022-04-18
15711,64,99,19,2022-04-18
15714,964,2062,403,2022-04-18
15716,94,185,43,2022-04-18
15720,28,41,8,2022-04-18
15721,25,50,6,2022-04-18
15722,374,648,167,2022-04-18
15724,335,684,139,2022-04-18
15728,482,1012,254,2022-04-18
15729,190,398,71,2022-04-18
15730,11,26,5,2022-04-18
15739,77,154,28,2022-04-18
15742,187,277,49,2022-04-18
15744,12,25,10,2022-04-18
15750,36,62,15,2022-04-18
15753,55,99,26,2022-04-18
15757,219,403,96,2022-04-18
15758,5,6,0,2022-04-18
15759,399,659,119,2022-04-18
15760,26,43,6,2022-04-18
15762,134,271,68,2022-04-18
15763,-1,6,-1,2022-04-18
15764,11,20,-1,2022-04-18
15765,226,475,82,2022-04-18
15767,1906,3782,685,2022-04-18
15770,21,42,8,2022-04-18
15771,118,220,37,2022-04-18
15772,207,459,69,2022-04-18
15773,110,172,36,2022-04-18
15775,-1,0,0,2022-04-18
15776,11,11,5,2022-04-18
15777,20,50,12,2022-04-18
15778,29,41,13,2022-04-18
15780,31,41,-1,2022-04-18
15784,22,38,6,2022-04-18
15801,2505,6133,1862,2022-04-18
15821,21,31,5,2022-04-18
15823,132,344,108,2022-04-18
15824,571,1286,475,2022-04-18
15825,1552,2878,596,2022-04-18
15827,37,78,23,2022-04-18
15828,34,74,7,2022-04-18
15829,192,340,65,2022-04-18
15832,26,83,9,2022-04-18
15834,497,1351,220,2022-04-18
15840,194,504,145,2022-04-18
15845,400,792,237,2022-04-18
15846,377,820,297,2022-04-18
15848,111,230,100,2022-04-18
15849,162,349,111,2022-04-18
15851,738,1549,534,2022-04-18
15853,909,1918,521,2022-04-18
15856,91,198,59,2022-04-18
15857,1626,3435,1398,2022-04-18
15860,175,312,50,2022-04-18
15861,16,27,-1,2022-04-18
15864,282,504,98,2022-04-18
15865,152,302,125,2022-04-18
15866,14,41,22,2022-04-18
15868,199,374,155,2022-04-18
15870,138,268,93,2022-04-18
15901,634,1741,178,2022-04-18
15902,1889,4797,760,2022-04-18
15904,2688,6275,1278,2022-04-18
15905,3317,8687,1640,2022-04-18
15906,1715,4280,796,2022-04-18
