ZIP_CODE,Positive,Negative,Probable,date
15521,246,464,165,2022-04-04
15522,1881,3478,819,2022-04-04
15530,914,1924,334,2022-04-04
15531,599,1246,266,2022-04-04
15533,177,335,103,2022-04-04
15534,100,174,83,2022-04-04
15535,280,447,116,2022-04-04
15536,53,148,32,2022-04-04
15537,1216,2103,545,2022-04-04
15538,94,192,44,2022-04-04
15539,102,163,51,2022-04-04
15541,571,1109,216,2022-04-04
15542,223,345,69,2022-04-04
15545,410,587,212,2022-04-04
15546,55,127,25,2022-04-04
15550,227,421,124,2022-04-04
15552,1184,2062,275,2022-04-04
15554,288,607,251,2022-04-04
15555,11,36,10,2022-04-04
15558,301,545,59,2022-04-04
15559,274,476,190,2022-04-04
15562,29,79,6,2022-04-04
15563,443,950,232,2022-04-04
15564,19,22,8,2022-04-04
15705,88,269,94,2022-04-04
15711,64,99,19,2022-04-04
15714,964,2050,403,2022-04-04
15716,94,184,43,2022-04-04
15720,28,41,8,2022-04-04
15721,25,50,6,2022-04-04
15722,374,645,167,2022-04-04
15724,335,679,139,2022-04-04
15728,481,1011,253,2022-04-04
15729,190,396,70,2022-04-04
15730,11,26,5,2022-04-04
15739,77,153,28,2022-04-04
15742,187,276,49,2022-04-04
15744,12,25,10,2022-04-04
15750,36,62,15,2022-04-04
15753,55,99,26,2022-04-04
15757,218,402,96,2022-04-04
15758,5,6,0,2022-04-04
15759,399,656,119,2022-04-04
15760,26,42,6,2022-04-04
15762,134,269,68,2022-04-04
15763,-1,6,-1,2022-04-04
15764,11,20,-1,2022-04-04
15765,225,471,82,2022-04-04
15767,1905,3759,683,2022-04-04
15770,21,43,8,2022-04-04
15771,118,219,37,2022-04-04
15772,207,457,69,2022-04-04
15773,110,172,36,2022-04-04
15775,-1,0,0,2022-04-04
15776,11,11,5,2022-04-04
15777,20,50,12,2022-04-04
15778,29,41,13,2022-04-04
15780,31,41,-1,2022-04-04
15784,22,38,6,2022-04-04
15801,2501,6107,1858,2022-04-04
15821,21,29,5,2022-04-04
15823,132,340,108,2022-04-04
15824,570,1276,475,2022-04-04
15825,1547,2860,596,2022-04-04
15827,37,77,23,2022-04-04
15828,34,74,7,2022-04-04
15829,192,338,65,2022-04-04
15832,25,83,9,2022-04-04
15834,497,1344,220,2022-04-04
15840,194,500,145,2022-04-04
15845,400,786,237,2022-04-04
15846,376,813,297,2022-04-04
15848,110,229,97,2022-04-04
15849,162,349,111,2022-04-04
15851,732,1544,535,2022-04-04
15853,907,1912,521,2022-04-04
15856,91,196,59,2022-04-04
15857,1626,3423,1398,2022-04-04
15860,175,310,50,2022-04-04
15861,16,26,-1,2022-04-04
15864,282,502,98,2022-04-04
15865,152,302,125,2022-04-04
15866,14,41,22,2022-04-04
15868,199,372,155,2022-04-04
15870,138,266,93,2022-04-04
15901,633,1726,178,2022-04-04
15902,1887,4774,758,2022-04-04
15904,2678,6260,1274,2022-04-04
15905,3307,8660,1627,2022-04-04
15906,1715,4256,793,2022-04-04
15909,893,2005,372,2022-04-04
15920,158,358,57,2022-04-04
15924,157,327,89,2022-04-04
15926,387,865,206,2022-04-04
15927,200,428,100,2022-04-04
15928,310,754,210,2022-04-04
15931,1655,4282,717,2022-04-04
15934,41,87,41,2022-04-04
15935,404,946,243,2022-04-04
15936,253,485,143,2022-04-04
15938,467,974,213,2022-04-04
15940,835,1104,548,2022-04-04
15942,287,750,184,2022-04-04
15943,602,1438,370,2022-04-04
15944,462,1122,221,2022-04-04
15945,41,83,21,2022-04-04
15946,1115,2499,569,2022-04-04
15949,150,232,54,2022-04-04
15951,121,263,64,2022-04-04
15952,202,487,135,2022-04-04
15953,13,22,5,2022-04-04
15954,370,758,114,2022-04-04
15955,314,701,198,2022-04-04
15956,488,1052,279,2022-04-04
15957,52,156,44,2022-04-04
15958,305,690,215,2022-04-04
15960,51,156,50,2022-04-04
15961,158,309,88,2022-04-04
15963,1567,3855,1111,2022-04-04
16020,211,321,46,2022-04-04
16022,85,138,25,2022-04-04
16025,1010,1550,300,2022-04-04
16028,307,567,55,2022-04-04
16030,52,78,14,2022-04-04
16036,25,34,8,2022-04-04
16038,591,933,104,2022-04-04
16040,128,257,56,2022-04-04
16041,285,570,89,2022-04-04
16049,490,812,122,2022-04-04
16050,257,428,79,2022-04-04
16051,391,936,164,2022-04-04
16057,2236,4647,506,2022-04-04
16061,420,679,110,2022-04-04
16101,5211,11299,2415,2022-04-04
16102,807,1717,374,2022-04-04
16105,2140,5480,1104,2022-04-04
16110,56,107,26,2022-04-04
16111,145,216,44,2022-04-04
16112,206,444,109,2022-04-04
16114,59,187,27,2022-04-04
16116,372,788,191,2022-04-04
16121,805,1666,164,2022-04-04
16124,202,537,74,2022-04-04
16125,2600,6417,763,2022-04-04
16127,2608,5109,651,2022-04-04
16130,281,533,67,2022-04-04
16131,135,241,37,2022-04-04
16133,183,387,47,2022-04-04
16134,482,1215,164,2022-04-04
16137,2004,5342,525,2022-04-04
16142,671,1618,293,2022-04-04
16143,370,775,168,2022-04-04
16145,409,729,113,2022-04-04
16146,2343,5332,540,2022-04-04
16148,2874,6378,915,2022-04-04
16150,1138,2567,379,2022-04-04
16153,361,717,92,2022-04-04
16154,333,815,106,2022-04-04
16156,406,770,168,2022-04-04
16159,723,1370,232,2022-04-04
16172,66,198,70,2022-04-04
16213,22,35,5,2022-04-04
16214,1443,2678,301,2022-04-04
16217,11,47,-1,2022-04-04
16218,236,334,37,2022-04-04
16224,215,324,42,2022-04-04
16225,5,19,-1,2022-04-04
16232,665,1017,142,2022-04-04
16233,161,246,55,2022-04-04
16234,13,17,-1,2022-04-04
16235,194,338,70,2022-04-04
16239,1665,2647,75,2022-04-04
16240,210,378,63,2022-04-04
16242,841,1278,143,2022-04-04
16248,531,860,110,2022-04-04
16253,21,48,-1,2022-04-04
16254,623,1035,209,2022-04-04
16255,466,529,77,2022-04-04
16258,328,475,71,2022-04-04
16260,37,54,5,2022-04-04
16301,2675,4499,574,2022-04-04
16311,63,114,15,2022-04-04
16313,252,472,100,2022-04-04
16314,941,1644,306,2022-04-04
16316,902,1896,275,2022-04-04
16317,288,390,62,2022-04-04
16319,201,317,52,2022-04-04
16321,26,32,-1,2022-04-04
16323,2811,4629,619,2022-04-04
16326,66,108,14,2022-04-04
16327,468,798,116,2022-04-04
16329,45,118,18,2022-04-04
16331,12,18,6,2022-04-04
16332,12,39,-1,2022-04-04
16333,35,69,6,2022-04-04
16334,84,97,14,2022-04-04
16335,5074,11688,1317,2022-04-04
16340,243,461,75,2022-04-04
16341,419,635,43,2022-04-04
16342,500,793,73,2022-04-04
16345,381,902,177,2022-04-04
16346,475,819,95,2022-04-04
16347,321,499,87,2022-04-04
16350,285,535,90,2022-04-04
16351,244,502,59,2022-04-04
16353,415,766,51,2022-04-04
16354,2334,3657,207,2022-04-04
16360,230,428,41,2022-04-04
16362,172,285,49,2022-04-04
16364,139,265,44,2022-04-04
16365,2569,5801,944,2022-04-04
16371,455,1087,281,2022-04-04
16372,77,126,22,2022-04-04
16373,552,826,109,2022-04-04
16374,231,417,41,2022-04-04
16401,710,1219,87,2022-04-04
16402,84,164,16,2022-04-04
16403,1779,3019,221,2022-04-04
16404,489,820,55,2022-04-04
16405,85,190,14,2022-04-04
16406,584,1465,247,2022-04-04
16407,1770,3252,256,2022-04-04
16410,326,518,47,2022-04-04
16411,250,410,27,2022-04-04
16412,1815,3592,285,2022-04-04
16415,1569,3898,265,2022-04-04
16417,1626,2747,339,2022-04-04
16420,101,198,16,2022-04-04
16421,474,749,50,2022-04-04
16423,723,1432,121,2022-04-04
16424,678,1380,187,2022-04-04
16426,741,1283,94,2022-04-04
16428,2314,4069,222,2022-04-04
16430,8,39,-1,2022-04-04
16433,983,1923,310,2022-04-04
16434,295,521,45,2022-04-04
16435,264,554,73,2022-04-04
16436,102,165,22,2022-04-04
16438,1196,2212,177,2022-04-04
16440,123,289,31,2022-04-04
16441,1897,3260,292,2022-04-04
16442,475,829,67,2022-04-04
16443,261,401,20,2022-04-04
16444,62,361,32,2022-04-04
16501,342,876,20,2022-04-04
16502,3084,5994,396,2022-04-04
16503,2894,5658,383,2022-04-04
16504,3064,5828,410,2022-04-04
16505,2733,6772,344,2022-04-04
16506,4330,9988,534,2022-04-04
16507,1690,3397,177,2022-04-04
16508,2786,6185,443,2022-04-04
16509,4873,12276,950,2022-04-04
16510,4543,9172,582,2022-04-04
16511,2204,4515,251,2022-04-04
16565,-1,63,0,2022-04-04
16601,6171,11757,1447,2022-04-04
16602,5243,10147,1338,2022-04-04
16611,420,785,82,2022-04-04
16613,254,482,74,2022-04-04
16616,23,37,10,2022-04-04
16617,566,922,105,2022-04-04
16620,73,135,19,2022-04-04
16621,135,213,35,2022-04-04
16622,47,69,12,2022-04-04
16623,74,173,30,2022-04-04
16625,560,1063,237,2022-04-04
16627,289,568,115,2022-04-04
16630,703,1577,308,2022-04-04
16634,56,102,10,2022-04-04
16635,2010,4809,515,2022-04-04
16636,139,231,40,2022-04-04
16637,426,780,142,2022-04-04
16639,159,270,52,2022-04-04
16640,156,364,69,2022-04-04
16641,435,840,164,2022-04-04
16645,20,47,5,2022-04-04
16646,467,872,141,2022-04-04
16647,122,265,37,2022-04-04
16648,3086,6300,795,2022-04-04
16650,266,459,93,2022-04-04
16651,580,1121,132,2022-04-04
16652,3593,10613,609,2022-04-04
16655,243,386,154,2022-04-04
16656,216,295,72,2022-04-04
16657,214,456,43,2022-04-04
16659,39,71,16,2022-04-04
16661,159,312,32,2022-04-04
16662,800,1908,294,2022-04-04
16664,228,439,79,2022-04-04
16666,572,969,113,2022-04-04
16667,213,354,108,2022-04-04
16668,596,1147,212,2022-04-04
16669,393,825,85,2022-04-04
16670,19,59,5,2022-04-04
16671,111,178,18,2022-04-04
16673,777,1643,262,2022-04-04
16674,113,195,44,2022-04-04
16678,474,856,126,2022-04-04
16679,147,241,35,2022-04-04
16680,99,139,8,2022-04-04
16682,33,56,15,2022-04-04
16683,47,175,10,2022-04-04
16685,52,86,19,2022-04-04
16686,2801,5683,468,2022-04-04
16689,49,127,65,2022-04-04
16691,52,102,31,2022-04-04
16692,103,257,37,2022-04-04
16693,814,1628,179,2022-04-04
16695,135,270,53,2022-04-04
16701,2474,5936,713,2022-04-04
16720,190,318,41,2022-04-04
16724,18,36,-1,2022-04-04
16726,69,166,24,2022-04-04
16727,44,115,10,2022-04-04
16729,107,229,27,2022-04-04
16731,373,698,75,2022-04-04
16732,37,127,10,2022-04-04
16734,41,45,14,2022-04-04
16735,990,1390,269,2022-04-04
16738,260,1140,361,2022-04-04
16740,149,272,45,2022-04-04
16743,734,1266,70,2022-04-04
16744,48,76,13,2022-04-04
16745,81,150,21,2022-04-04
16746,217,372,17,2022-04-04
16748,457,654,72,2022-04-04
16749,684,1373,152,2022-04-04
16750,56,119,8,2022-04-04
16801,8591,23889,1195,2022-04-04
16802,1846,5001,278,2022-04-04
16803,3240,15174,665,2022-04-04
16820,193,381,25,2022-04-04
16821,77,118,15,2022-04-04
16822,526,714,36,2022-04-04
16823,6208,15482,572,2022-04-04
16827,742,3009,101,2022-04-04
16828,785,1969,81,2022-04-04
16829,180,222,25,2022-04-04
16830,2659,4876,716,2022-04-04
16832,90,163,9,2022-04-04
16833,976,1703,311,2022-04-04
16836,200,319,26,2022-04-04
16837,29,65,8,2022-04-04
16838,241,493,144,2022-04-04
16839,117,137,16,2022-04-04
16840,89,189,9,2022-04-04
16841,1084,1805,100,2022-04-04
16844,541,1061,52,2022-04-04
16845,519,538,35,2022-04-04
16850,16,19,-1,2022-04-04
16852,49,122,5,2022-04-04
16854,181,397,15,2022-04-04
16858,727,1299,149,2022-04-04
16859,98,179,6,2022-04-04
16860,61,128,16,2022-04-04
16861,56,92,14,2022-04-04
16863,129,216,29,2022-04-04
16864,20,25,0,2022-04-04
16865,223,842,22,2022-04-04
16866,2081,6806,297,2022-04-04
16870,1286,3869,171,2022-04-04
16871,9,14,-1,2022-04-04
16872,167,349,16,2022-04-04
16874,279,514,38,2022-04-04
16875,649,1566,73,2022-04-04
16876,46,108,9,2022-04-04
16877,299,683,29,2022-04-04
16878,371,601,78,2022-04-04
16879,86,146,12,2022-04-04
16881,385,625,111,2022-04-04
16882,40,124,5,2022-04-04
