ZIP_CODE,Positive,Negative,Probable,date
15521,246,463,165,2022-03-27
15522,1878,3471,816,2022-03-27
15530,913,1924,334,2022-03-27
15531,599,1244,266,2022-03-27
15533,177,335,102,2022-03-27
15534,100,174,83,2022-03-27
15535,280,447,116,2022-03-27
15536,53,146,32,2022-03-27
15537,1214,2097,545,2022-03-27
15538,94,192,44,2022-03-27
15539,102,163,51,2022-03-27
15541,571,1107,216,2022-03-27
15542,222,345,69,2022-03-27
15545,407,584,212,2022-03-27
15546,55,126,25,2022-03-27
15550,227,419,124,2022-03-27
15552,1180,2057,276,2022-03-27
15554,288,606,251,2022-03-27
15555,11,36,10,2022-03-27
15558,300,540,59,2022-03-27
15559,272,476,190,2022-03-27
15562,29,79,6,2022-03-27
15563,441,946,232,2022-03-27
15564,19,22,8,2022-03-27
15705,88,269,94,2022-03-27
15711,64,99,19,2022-03-27
15714,963,2046,403,2022-03-27
15716,93,184,43,2022-03-27
15720,28,41,8,2022-03-27
15721,25,50,6,2022-03-27
15722,374,645,167,2022-03-27
15724,334,678,139,2022-03-27
15728,480,1008,253,2022-03-27
15729,189,395,70,2022-03-27
15730,11,26,5,2022-03-27
15739,77,152,28,2022-03-27
15742,187,276,49,2022-03-27
15744,12,25,10,2022-03-27
15750,36,62,15,2022-03-27
15753,55,98,26,2022-03-27
15757,218,402,95,2022-03-27
15758,5,6,0,2022-03-27
15759,399,654,119,2022-03-27
15760,26,42,6,2022-03-27
15762,134,268,68,2022-03-27
15763,-1,6,-1,2022-03-27
15764,11,20,-1,2022-03-27
15765,225,471,82,2022-03-27
15767,1899,3746,682,2022-03-27
15770,21,43,8,2022-03-27
15771,118,216,37,2022-03-27
15772,207,455,69,2022-03-27
15773,110,172,36,2022-03-27
15775,-1,0,0,2022-03-27
15776,11,11,5,2022-03-27
15777,20,50,12,2022-03-27
15778,29,41,13,2022-03-27
15780,31,41,-1,2022-03-27
15784,22,38,6,2022-03-27
15801,2495,6071,1858,2022-03-27
15821,21,29,5,2022-03-27
15823,132,336,108,2022-03-27
15824,568,1266,475,2022-03-27
15825,1543,2849,596,2022-03-27
15827,37,77,23,2022-03-27
15828,34,74,7,2022-03-27
15829,192,337,65,2022-03-27
15832,25,81,9,2022-03-27
15834,497,1341,220,2022-03-27
15840,194,498,145,2022-03-27
15845,400,784,237,2022-03-27
15846,375,813,294,2022-03-27
15848,110,228,97,2022-03-27
15849,162,346,111,2022-03-27
15851,731,1535,535,2022-03-27
15853,907,1904,521,2022-03-27
15856,91,194,59,2022-03-27
15857,1624,3404,1398,2022-03-27
15860,175,310,50,2022-03-27
15861,16,25,-1,2022-03-27
15864,282,501,98,2022-03-27
15865,152,302,125,2022-03-27
15866,14,40,22,2022-03-27
15868,198,369,155,2022-03-27
15870,138,265,93,2022-03-27
15901,633,1725,178,2022-03-27
15902,1885,4762,757,2022-03-27
15904,2675,6247,1273,2022-03-27
15905,3302,8649,1624,2022-03-27
15906,1715,4248,793,2022-03-27
15909,893,2002,367,2022-03-27
15920,158,356,57,2022-03-27
15924,157,327,89,2022-03-27
15926,387,861,205,2022-03-27
15927,200,425,100,2022-03-27
15928,309,753,210,2022-03-27
15931,1655,4275,716,2022-03-27
15934,41,87,41,2022-03-27
15935,404,942,243,2022-03-27
15936,253,485,143,2022-03-27
15938,466,974,213,2022-03-27
15940,835,1104,547,2022-03-27
15942,287,748,184,2022-03-27
15943,602,1436,370,2022-03-27
15944,461,1124,221,2022-03-27
15945,41,82,21,2022-03-27
15946,1114,2497,567,2022-03-27
15949,150,231,54,2022-03-27
15951,121,263,63,2022-03-27
15952,202,486,135,2022-03-27
15953,13,22,5,2022-03-27
15954,370,757,114,2022-03-27
15955,314,699,198,2022-03-27
15956,488,1052,279,2022-03-27
15957,52,156,44,2022-03-27
15958,305,690,215,2022-03-27
15960,51,156,50,2022-03-27
15961,158,308,88,2022-03-27
15963,1562,3843,1110,2022-03-27
16020,211,320,46,2022-03-27
16022,85,138,25,2022-03-27
16025,1010,1543,300,2022-03-27
16028,305,565,55,2022-03-27
16030,52,78,14,2022-03-27
16036,25,34,8,2022-03-27
16038,591,931,104,2022-03-27
16040,128,257,56,2022-03-27
16041,285,566,89,2022-03-27
16049,490,809,122,2022-03-27
16050,257,427,79,2022-03-27
16051,390,933,163,2022-03-27
16057,2233,4630,506,2022-03-27
16061,420,675,110,2022-03-27
16101,5203,11270,2415,2022-03-27
16102,806,1708,374,2022-03-27
16105,2139,5461,1102,2022-03-27
16110,56,106,26,2022-03-27
16111,145,215,44,2022-03-27
16112,205,445,109,2022-03-27
16114,59,186,27,2022-03-27
16116,371,788,191,2022-03-27
16121,805,1663,164,2022-03-27
16124,202,537,74,2022-03-27
16125,2597,6398,762,2022-03-27
16127,2606,5090,650,2022-03-27
16130,281,532,67,2022-03-27
16131,135,239,37,2022-03-27
16133,183,387,47,2022-03-27
16134,481,1210,164,2022-03-27
16137,2003,5331,524,2022-03-27
16142,671,1612,292,2022-03-27
16143,370,773,168,2022-03-27
16145,409,727,112,2022-03-27
16146,2341,5317,540,2022-03-27
16148,2872,6365,914,2022-03-27
16150,1137,2562,379,2022-03-27
16153,361,714,92,2022-03-27
16154,332,814,106,2022-03-27
16156,406,769,168,2022-03-27
16159,722,1367,232,2022-03-27
16172,66,198,70,2022-03-27
16213,22,36,5,2022-03-27
16214,1438,2676,302,2022-03-27
16217,11,47,-1,2022-03-27
16218,236,332,37,2022-03-27
16224,215,322,42,2022-03-27
16225,5,19,-1,2022-03-27
16232,664,1010,142,2022-03-27
16233,161,244,55,2022-03-27
16234,13,17,-1,2022-03-27
16235,194,337,70,2022-03-27
16239,1664,2643,75,2022-03-27
16240,210,375,63,2022-03-27
16242,841,1270,143,2022-03-27
16248,531,856,110,2022-03-27
16253,21,48,-1,2022-03-27
16254,623,1025,209,2022-03-27
16255,465,528,77,2022-03-27
16258,328,472,71,2022-03-27
16260,37,53,5,2022-03-27
16301,2673,4482,573,2022-03-27
16311,62,113,15,2022-03-27
16313,252,470,100,2022-03-27
16314,941,1639,306,2022-03-27
16316,901,1887,275,2022-03-27
16317,287,387,62,2022-03-27
16319,201,315,52,2022-03-27
16321,26,32,-1,2022-03-27
16323,2810,4612,619,2022-03-27
16326,66,107,14,2022-03-27
16327,468,797,116,2022-03-27
16329,45,118,18,2022-03-27
16331,12,18,6,2022-03-27
16332,12,39,-1,2022-03-27
16333,35,69,6,2022-03-27
16334,84,97,14,2022-03-27
16335,5067,11639,1316,2022-03-27
16340,243,461,75,2022-03-27
16341,418,633,43,2022-03-27
16342,500,793,73,2022-03-27
16345,381,901,177,2022-03-27
16346,475,814,95,2022-03-27
16347,321,499,87,2022-03-27
16350,285,534,90,2022-03-27
16351,243,502,59,2022-03-27
16353,415,767,51,2022-03-27
16354,2333,3637,207,2022-03-27
16360,230,426,41,2022-03-27
16362,171,284,49,2022-03-27
16364,139,263,44,2022-03-27
16365,2562,5794,940,2022-03-27
16371,455,1085,281,2022-03-27
16372,77,126,22,2022-03-27
16373,552,821,109,2022-03-27
16374,231,416,41,2022-03-27
16401,706,1216,88,2022-03-27
16402,84,163,16,2022-03-27
16403,1779,3010,221,2022-03-27
16404,489,819,55,2022-03-27
16405,85,190,14,2022-03-27
16406,584,1463,248,2022-03-27
16407,1768,3241,255,2022-03-27
16410,326,516,47,2022-03-27
16411,250,410,27,2022-03-27
16412,1811,3577,285,2022-03-27
16415,1565,3877,264,2022-03-27
16417,1624,2735,339,2022-03-27
16420,101,197,16,2022-03-27
16421,474,743,50,2022-03-27
16423,722,1420,121,2022-03-27
16424,677,1375,187,2022-03-27
16426,740,1281,94,2022-03-27
16428,2312,4054,222,2022-03-27
16430,8,39,-1,2022-03-27
16433,981,1911,309,2022-03-27
