ZIP_CODE,Positive,Negative,Probable,date
15521,246,463,165,2022-03-26
15522,1878,3469,816,2022-03-26
15530,913,1924,334,2022-03-26
15531,599,1243,266,2022-03-26
15533,177,335,102,2022-03-26
15534,100,174,83,2022-03-26
15535,280,447,116,2022-03-26
15536,53,146,32,2022-03-26
15537,1214,2097,545,2022-03-26
15538,94,192,44,2022-03-26
15539,102,163,51,2022-03-26
15541,571,1107,216,2022-03-26
15542,222,344,69,2022-03-26
15545,405,586,212,2022-03-26
15546,55,126,25,2022-03-26
15550,227,419,124,2022-03-26
15552,1176,2058,276,2022-03-26
15554,288,606,251,2022-03-26
15555,11,36,10,2022-03-26
15558,300,540,59,2022-03-26
15559,272,476,190,2022-03-26
15562,29,79,6,2022-03-26
15563,441,945,232,2022-03-26
15564,19,22,8,2022-03-26
15705,88,269,94,2022-03-26
15711,64,99,19,2022-03-26
15714,963,2046,403,2022-03-26
15716,93,184,43,2022-03-26
15720,28,41,8,2022-03-26
15721,25,50,6,2022-03-26
15722,374,645,167,2022-03-26
15724,334,678,139,2022-03-26
15728,480,1008,253,2022-03-26
15729,189,395,70,2022-03-26
15730,11,26,5,2022-03-26
15739,77,152,28,2022-03-26
15742,187,276,49,2022-03-26
15744,12,25,10,2022-03-26
15750,36,62,15,2022-03-26
15753,55,98,26,2022-03-26
15757,218,402,95,2022-03-26
15758,5,7,0,2022-03-26
15759,399,654,119,2022-03-26
15760,26,42,6,2022-03-26
15762,134,268,68,2022-03-26
15763,-1,6,-1,2022-03-26
15764,11,20,-1,2022-03-26
15765,225,471,82,2022-03-26
15767,1898,3741,682,2022-03-26
15770,21,43,8,2022-03-26
15771,118,216,37,2022-03-26
15772,207,454,69,2022-03-26
15773,110,172,36,2022-03-26
15775,-1,0,0,2022-03-26
15776,11,11,5,2022-03-26
15777,20,50,12,2022-03-26
15778,29,41,13,2022-03-26
15780,31,41,-1,2022-03-26
15784,22,38,6,2022-03-26
15801,2495,6070,1858,2022-03-26
15821,21,29,5,2022-03-26
15823,132,336,108,2022-03-26
15824,568,1266,475,2022-03-26
15825,1543,2846,596,2022-03-26
15827,37,77,23,2022-03-26
15828,34,74,7,2022-03-26
15829,192,337,65,2022-03-26
15832,25,81,9,2022-03-26
15834,497,1341,220,2022-03-26
15840,194,497,145,2022-03-26
15845,400,784,237,2022-03-26
15846,375,813,294,2022-03-26
15848,110,228,97,2022-03-26
15849,162,346,111,2022-03-26
15851,731,1535,535,2022-03-26
15853,907,1904,521,2022-03-26
15856,91,194,59,2022-03-26
15857,1624,3404,1398,2022-03-26
15860,175,310,50,2022-03-26
15861,16,25,-1,2022-03-26
15864,282,501,98,2022-03-26
15865,152,303,125,2022-03-26
15866,14,40,22,2022-03-26
15868,198,369,155,2022-03-26
15870,138,265,93,2022-03-26
15901,633,1725,178,2022-03-26
15902,1884,4761,756,2022-03-26
15904,2675,6244,1272,2022-03-26
15905,3302,8648,1624,2022-03-26
15906,1715,4246,793,2022-03-26
15909,893,2002,367,2022-03-26
15920,158,356,57,2022-03-26
15924,157,327,89,2022-03-26
15926,387,861,205,2022-03-26
15927,200,425,100,2022-03-26
15928,309,753,210,2022-03-26
15931,1655,4275,716,2022-03-26
15934,41,87,41,2022-03-26
15935,404,942,243,2022-03-26
15936,253,485,143,2022-03-26
15938,466,973,213,2022-03-26
15940,835,1104,547,2022-03-26
15942,287,748,184,2022-03-26
15943,602,1436,370,2022-03-26
15944,461,1123,221,2022-03-26
15945,41,82,21,2022-03-26
15946,1114,2495,567,2022-03-26
15949,150,230,54,2022-03-26
15951,121,263,63,2022-03-26
15952,202,486,135,2022-03-26
15953,13,22,5,2022-03-26
15954,370,757,114,2022-03-26
15955,314,699,198,2022-03-26
15956,488,1052,279,2022-03-26
15957,52,156,44,2022-03-26
15958,305,690,215,2022-03-26
15960,51,156,50,2022-03-26
15961,158,308,88,2022-03-26
15963,1562,3842,1110,2022-03-26
16020,211,319,46,2022-03-26
16022,85,138,25,2022-03-26
16025,1010,1543,300,2022-03-26
16028,305,565,55,2022-03-26
16030,52,78,14,2022-03-26
16036,24,35,8,2022-03-26
16038,591,931,104,2022-03-26
16040,128,257,56,2022-03-26
16041,285,566,89,2022-03-26
16049,490,807,122,2022-03-26
16050,257,427,79,2022-03-26
16051,390,933,163,2022-03-26
16057,2233,4630,506,2022-03-26
16061,420,674,110,2022-03-26
16101,5203,11271,2413,2022-03-26
16102,806,1708,374,2022-03-26
16105,2139,5458,1102,2022-03-26
16110,56,106,26,2022-03-26
16111,145,215,44,2022-03-26
16112,205,445,109,2022-03-26
16114,59,186,27,2022-03-26
16116,371,787,191,2022-03-26
16121,805,1661,164,2022-03-26
16124,202,537,74,2022-03-26
16125,2597,6396,762,2022-03-26
16127,2606,5083,650,2022-03-26
16130,281,532,67,2022-03-26
16131,135,239,37,2022-03-26
16133,183,387,47,2022-03-26
16134,481,1210,164,2022-03-26
16137,2002,5329,523,2022-03-26
16142,671,1611,292,2022-03-26
16143,370,773,168,2022-03-26
16145,409,727,112,2022-03-26
16146,2340,5315,540,2022-03-26
16148,2872,6362,914,2022-03-26
16150,1137,2561,379,2022-03-26
16153,361,714,92,2022-03-26
16154,332,814,106,2022-03-26
16156,406,769,168,2022-03-26
16159,722,1367,232,2022-03-26
16172,66,198,70,2022-03-26
16213,22,36,5,2022-03-26
16214,1438,2675,302,2022-03-26
16217,11,47,-1,2022-03-26
16218,236,332,37,2022-03-26
16224,215,322,42,2022-03-26
16225,5,19,-1,2022-03-26
16232,663,1010,142,2022-03-26
16233,161,244,55,2022-03-26
16234,13,17,-1,2022-03-26
16235,194,337,70,2022-03-26
16239,1664,2643,75,2022-03-26
16240,210,375,63,2022-03-26
16242,841,1270,143,2022-03-26
16248,531,856,110,2022-03-26
16253,21,48,-1,2022-03-26
16254,623,1024,209,2022-03-26
16255,465,528,77,2022-03-26
16258,328,472,71,2022-03-26
16260,37,53,5,2022-03-26
16301,2673,4478,573,2022-03-26
16311,62,113,15,2022-03-26
16313,252,470,100,2022-03-26
16314,941,1639,306,2022-03-26
16316,901,1887,275,2022-03-26
16317,287,387,62,2022-03-26
16319,201,315,52,2022-03-26
16321,26,32,-1,2022-03-26
16323,2810,4610,619,2022-03-26
16326,66,107,14,2022-03-26
16327,468,794,116,2022-03-26
16329,45,118,18,2022-03-26
16331,12,18,6,2022-03-26
16332,12,39,-1,2022-03-26
16333,35,68,6,2022-03-26
16334,84,97,14,2022-03-26
16335,5066,11633,1316,2022-03-26
16340,243,461,75,2022-03-26
16341,418,633,43,2022-03-26
16342,500,793,73,2022-03-26
16345,381,899,177,2022-03-26
16346,475,813,95,2022-03-26
16347,321,499,87,2022-03-26
16350,284,535,90,2022-03-26
16351,243,502,59,2022-03-26
16353,415,767,51,2022-03-26
16354,2333,3637,207,2022-03-26
16360,230,426,41,2022-03-26
16362,171,284,49,2022-03-26
16364,139,263,44,2022-03-26
16365,2562,5794,939,2022-03-26
16371,454,1085,281,2022-03-26
16372,77,126,22,2022-03-26
16373,552,821,109,2022-03-26
16374,231,416,41,2022-03-26
16401,705,1216,88,2022-03-26
16402,84,163,16,2022-03-26
16403,1779,3010,221,2022-03-26
16404,489,819,55,2022-03-26
16405,85,190,14,2022-03-26
16406,584,1461,248,2022-03-26
16407,1768,3241,255,2022-03-26
16410,326,515,47,2022-03-26
16411,250,409,27,2022-03-26
16412,1811,3576,285,2022-03-26
16415,1565,3875,264,2022-03-26
16417,1624,2735,339,2022-03-26
16420,101,197,16,2022-03-26
16421,474,741,50,2022-03-26
16423,722,1420,121,2022-03-26
16424,677,1372,187,2022-03-26
16426,740,1281,94,2022-03-26
16428,2312,4052,222,2022-03-26
16430,8,39,-1,2022-03-26
16433,981,1911,309,2022-03-26
16434,294,519,45,2022-03-26
16435,264,549,73,2022-03-26
16436,102,165,22,2022-03-26
16438,1195,2198,177,2022-03-26
16440,122,288,31,2022-03-26
16441,1895,3244,292,2022-03-26
16442,474,820,68,2022-03-26
16443,261,399,20,2022-03-26
16444,62,361,32,2022-03-26
16501,341,875,20,2022-03-26
16502,3083,5965,395,2022-03-26
16503,2888,5621,384,2022-03-26
16504,3061,5804,410,2022-03-26
16505,2727,6747,344,2022-03-26
16506,4319,9938,534,2022-03-26
16507,1688,3377,176,2022-03-26
16508,2783,6158,440,2022-03-26
16509,4863,12195,952,2022-03-26
16510,4533,9123,582,2022-03-26
16511,2200,4494,251,2022-03-26
16565,-1,63,0,2022-03-26
16601,6163,11741,1447,2022-03-26
16602,5237,10111,1338,2022-03-26
16611,419,781,82,2022-03-26
16613,254,482,74,2022-03-26
16616,23,37,10,2022-03-26
16617,566,920,105,2022-03-26
16620,73,135,19,2022-03-26
16621,135,213,35,2022-03-26
16622,47,68,12,2022-03-26
16623,74,173,30,2022-03-26
16625,560,1062,237,2022-03-26
16627,289,565,115,2022-03-26
16630,701,1577,308,2022-03-26
16634,56,101,10,2022-03-26
16635,2009,4794,514,2022-03-26
16636,139,231,40,2022-03-26
16637,426,778,142,2022-03-26
16639,159,271,52,2022-03-26
16640,156,362,69,2022-03-26
16641,435,837,164,2022-03-26
16645,20,47,5,2022-03-26
16646,467,870,141,2022-03-26
16647,122,265,37,2022-03-26
16648,3080,6289,794,2022-03-26
16650,266,458,93,2022-03-26
16651,580,1113,131,2022-03-26
16652,3592,10583,610,2022-03-26
16655,243,383,154,2022-03-26
16656,215,296,72,2022-03-26
16657,214,452,43,2022-03-26
16659,39,71,16,2022-03-26
16661,159,311,32,2022-03-26
16662,800,1907,294,2022-03-26
16664,228,438,79,2022-03-26
16666,571,966,113,2022-03-26
16667,213,354,108,2022-03-26
16668,596,1144,212,2022-03-26
16669,392,820,85,2022-03-26
16670,19,59,5,2022-03-26
16671,111,177,18,2022-03-26
16673,776,1639,263,2022-03-26
16674,112,194,44,2022-03-26
16678,474,855,126,2022-03-26
16679,147,240,35,2022-03-26
16680,99,138,8,2022-03-26
16682,33,56,15,2022-03-26
16683,47,175,10,2022-03-26
16685,52,86,19,2022-03-26
16686,2798,5673,467,2022-03-26
16689,49,127,65,2022-03-26
16691,52,102,31,2022-03-26
16692,103,256,37,2022-03-26
16693,814,1626,179,2022-03-26
16695,135,270,53,2022-03-26
16701,2473,5928,708,2022-03-26
16720,190,316,41,2022-03-26
16724,18,36,-1,2022-03-26
16726,69,166,24,2022-03-26
16727,44,114,10,2022-03-26
16729,106,229,28,2022-03-26
16731,373,697,73,2022-03-26
16732,37,125,10,2022-03-26
16734,41,44,14,2022-03-26
16735,988,1390,268,2022-03-26
16738,260,1139,361,2022-03-26
16740,149,272,45,2022-03-26
16743,734,1262,70,2022-03-26
16744,48,77,12,2022-03-26
16745,81,150,21,2022-03-26
16746,217,371,17,2022-03-26
16748,455,654,70,2022-03-26
16749,683,1369,152,2022-03-26
16750,56,119,8,2022-03-26
16801,8575,23861,1192,2022-03-26
16802,1844,4992,278,2022-03-26
16803,3233,15145,657,2022-03-26
16820,193,379,25,2022-03-26
16821,76,117,15,2022-03-26
16822,525,714,36,2022-03-26
16823,6196,15435,571,2022-03-26
16827,741,2995,101,2022-03-26
16828,785,1959,81,2022-03-26
16829,180,222,25,2022-03-26
16830,2657,4846,716,2022-03-26
16832,90,160,9,2022-03-26
16833,976,1692,311,2022-03-26
16836,200,315,26,2022-03-26
16837,29,65,8,2022-03-26
16838,241,488,144,2022-03-26
16839,117,137,16,2022-03-26
