ZIP_CODE,Positive,Negative,Probable,date
15521,246,464,165,2022-03-29
15522,1878,3474,816,2022-03-29
15530,913,1924,334,2022-03-29
15531,599,1245,266,2022-03-29
15533,177,335,102,2022-03-29
15534,100,174,83,2022-03-29
15535,280,447,116,2022-03-29
15536,53,146,32,2022-03-29
15537,1215,2098,545,2022-03-29
15538,94,192,44,2022-03-29
15539,102,163,51,2022-03-29
15541,571,1108,216,2022-03-29
15542,222,346,69,2022-03-29
15545,409,585,212,2022-03-29
15546,55,127,25,2022-03-29
15550,227,419,124,2022-03-29
15552,1182,2057,276,2022-03-29
15554,288,606,251,2022-03-29
15555,11,36,10,2022-03-29
15558,300,542,59,2022-03-29
15559,272,476,190,2022-03-29
15562,29,79,6,2022-03-29
15563,442,948,232,2022-03-29
15564,19,22,8,2022-03-29
15705,88,269,94,2022-03-29
15711,64,99,19,2022-03-29
15714,963,2046,403,2022-03-29
15716,94,184,43,2022-03-29
15720,28,41,8,2022-03-29
15721,25,50,6,2022-03-29
15722,374,645,167,2022-03-29
15724,334,678,139,2022-03-29
15728,480,1009,253,2022-03-29
15729,190,395,70,2022-03-29
15730,11,26,5,2022-03-29
15739,77,152,28,2022-03-29
15742,187,276,49,2022-03-29
15744,12,25,10,2022-03-29
15750,36,62,15,2022-03-29
15753,55,98,26,2022-03-29
15757,218,402,95,2022-03-29
15758,5,6,0,2022-03-29
15759,399,654,119,2022-03-29
15760,26,42,6,2022-03-29
15762,134,269,68,2022-03-29
15763,-1,6,-1,2022-03-29
15764,11,20,-1,2022-03-29
15765,225,471,82,2022-03-29
15767,1900,3749,682,2022-03-29
15770,21,43,8,2022-03-29
15771,118,216,37,2022-03-29
15772,207,455,69,2022-03-29
15773,110,172,36,2022-03-29
15775,-1,0,0,2022-03-29
15776,11,11,5,2022-03-29
15777,20,50,12,2022-03-29
15778,29,41,13,2022-03-29
15780,31,41,-1,2022-03-29
15784,22,38,6,2022-03-29
15801,2496,6082,1858,2022-03-29
15821,21,29,5,2022-03-29
15823,132,337,108,2022-03-29
15824,568,1271,475,2022-03-29
15825,1543,2853,596,2022-03-29
15827,37,77,23,2022-03-29
15828,34,74,7,2022-03-29
15829,192,337,65,2022-03-29
15832,25,81,9,2022-03-29
15834,497,1341,220,2022-03-29
15840,194,499,145,2022-03-29
15845,400,784,237,2022-03-29
15846,376,814,294,2022-03-29
15848,110,229,97,2022-03-29
15849,162,346,111,2022-03-29
15851,731,1537,535,2022-03-29
15853,907,1908,521,2022-03-29
15856,91,196,59,2022-03-29
15857,1626,3408,1398,2022-03-29
15860,175,310,50,2022-03-29
15861,16,26,-1,2022-03-29
15864,282,501,98,2022-03-29
15865,152,302,125,2022-03-29
15866,14,40,22,2022-03-29
15868,198,370,155,2022-03-29
15870,138,265,93,2022-03-29
15901,633,1725,178,2022-03-29
15902,1886,4764,758,2022-03-29
15904,2677,6249,1273,2022-03-29
15905,3305,8652,1624,2022-03-29
15906,1715,4249,793,2022-03-29
15909,893,2001,369,2022-03-29
15920,158,356,57,2022-03-29
15924,157,327,89,2022-03-29
15926,387,862,205,2022-03-29
15927,200,426,100,2022-03-29
15928,309,754,210,2022-03-29
15931,1655,4277,716,2022-03-29
15934,41,87,41,2022-03-29
15935,404,944,243,2022-03-29
15936,253,485,143,2022-03-29
15938,466,974,213,2022-03-29
15940,835,1104,547,2022-03-29
15942,287,748,184,2022-03-29
15943,602,1436,370,2022-03-29
15944,461,1124,221,2022-03-29
15945,41,82,21,2022-03-29
15946,1114,2499,567,2022-03-29
15949,150,231,54,2022-03-29
15951,121,263,63,2022-03-29
15952,202,486,135,2022-03-29
15953,13,22,5,2022-03-29
15954,370,758,114,2022-03-29
15955,314,699,198,2022-03-29
15956,488,1052,279,2022-03-29
15957,52,156,44,2022-03-29
15958,305,690,215,2022-03-29
15960,51,156,50,2022-03-29
15961,158,309,88,2022-03-29
15963,1564,3849,1110,2022-03-29
16020,211,320,46,2022-03-29
16022,85,138,25,2022-03-29
