ZIP_CODE,Positive,Negative,Probable,date
15521,246,465,165,2022-04-11
15522,1881,3489,819,2022-04-11
15530,914,1925,336,2022-04-11
15531,599,1247,267,2022-04-11
15533,178,335,103,2022-04-11
15534,100,174,83,2022-04-11
15535,281,448,116,2022-04-11
15536,53,149,32,2022-04-11
15537,1216,2109,545,2022-04-11
15538,94,192,44,2022-04-11
15539,103,163,51,2022-04-11
15541,572,1109,216,2022-04-11
15542,223,345,69,2022-04-11
15545,410,588,212,2022-04-11
15546,55,127,25,2022-04-11
15550,227,421,124,2022-04-11
15552,1185,2063,275,2022-04-11
15554,288,608,251,2022-04-11
15555,11,36,10,2022-04-11
15558,301,547,59,2022-04-11
15559,274,477,190,2022-04-11
15562,29,79,6,2022-04-11
15563,443,952,232,2022-04-11
15564,19,22,8,2022-04-11
15705,88,270,94,2022-04-11
15711,64,99,19,2022-04-11
15714,964,2055,403,2022-04-11
15716,94,184,43,2022-04-11
15720,28,41,8,2022-04-11
15721,25,50,6,2022-04-11
15722,374,648,167,2022-04-11
15724,335,681,139,2022-04-11
15728,481,1011,254,2022-04-11
15729,190,397,70,2022-04-11
15730,11,26,5,2022-04-11
15739,77,154,28,2022-04-11
15742,187,276,49,2022-04-11
15744,12,25,10,2022-04-11
15750,36,62,15,2022-04-11
15753,55,99,26,2022-04-11
15757,218,403,96,2022-04-11
15758,5,6,0,2022-04-11
15759,399,656,119,2022-04-11
15760,26,43,6,2022-04-11
15762,134,271,68,2022-04-11
15763,-1,6,-1,2022-04-11
15764,11,20,-1,2022-04-11
15765,226,475,82,2022-04-11
15767,1906,3771,683,2022-04-11
15770,21,42,8,2022-04-11
15771,118,220,37,2022-04-11
15772,207,458,69,2022-04-11
15773,110,172,36,2022-04-11
15775,-1,0,0,2022-04-11
15776,11,11,5,2022-04-11
15777,20,50,12,2022-04-11
15778,29,41,13,2022-04-11
15780,31,41,-1,2022-04-11
15784,22,38,6,2022-04-11
15801,2503,6117,1860,2022-04-11
15821,21,31,5,2022-04-11
15823,132,343,108,2022-04-11
15824,570,1281,475,2022-04-11
15825,1550,2867,596,2022-04-11
15827,37,77,23,2022-04-11
15828,34,74,7,2022-04-11
15829,192,338,65,2022-04-11
15832,26,83,9,2022-04-11
15834,497,1346,220,2022-04-11
15840,194,502,145,2022-04-11
15845,400,789,237,2022-04-11
15846,377,818,297,2022-04-11
15848,111,229,98,2022-04-11
15849,162,349,111,2022-04-11
15851,737,1547,534,2022-04-11
15853,908,1917,521,2022-04-11
15856,91,196,59,2022-04-11
15857,1626,3428,1398,2022-04-11
15860,175,311,50,2022-04-11
15861,16,27,-1,2022-04-11
15864,282,504,98,2022-04-11
15865,152,302,125,2022-04-11
15866,14,41,22,2022-04-11
15868,199,373,155,2022-04-11
15870,138,268,93,2022-04-11
15901,633,1735,178,2022-04-11
15902,1888,4784,759,2022-04-11
